season,allouts_conceded,team_name,team_id_0,match_played_0,allouts_inflicted,team_id_1,match_played_1,avg_points_scored,team_id_2,match_played_2,avg_raid_points,team_id_3,match_played_3,avg_tackle_points,team_id_4,match_played_4,conceded_points,team_id_5,match_played_5,do_or_die_points,team_id_6,match_played_6,points_scored,team_id_7,match_played_7,raid_points,team_id_8,match_played_8,successful_raids,team_id_9,match_played_9,successful_tackles,team_id_10,match_played_10,super_raids,team_id_11,match_played_11,super_tackles,team_id_12,match_played_12,tackle_points,team_id_13,match_played_13,z_score_allouts_conceded,z_score_allouts_inflicted,z_score_avg_points_scored,z_score_avg_raid_points,z_score_avg_tackle_points,z_score_conceded_points,z_score_do_or_die_points,z_score_points_scored,z_score_raid_points,z_score_successful_raids,z_score_successful_tackles,z_score_super_raids,z_score_super_tackles,z_score_tackle_points
2,20,Dabang Delhi K.C.,2,14,13,2,14,25.21,2,14,15.5,2,14,9.71,2,14,464,2,14,61,2,14,396,2,14,217,2,14,159,2,14,122,2,14,14,2,14,14,2,14,136,2,14,-0.10190953529142188,-0.8838060319349137,-0.8243627406438574,-0.9135202106193944,0.07847611815462636,-0.6596797044743177,-0.203251447458978,-1.0323747344854528,-1.034937533992388,-1.1818543010199767,-0.8052902734820879,1.045520906887934,-0.2403762860838405,-0.7803578229166298
2,12,Jaipur Pink Panthers,3,14,17,3,14,26.71,3,14,16.57,3,14,10.14,3,14,399,3,14,47,3,14,442,3,14,232,3,14,183,3,14,124,3,14,5,3,14,18,3,14,142,3,14,-1.3338825841477246,-0.42239482140459395,-0.2649521921396108,-0.48961886798758836,0.4521962638942418,-1.0995325169311716,-0.8894052700864508,-0.7454052001861108,-0.8838517626066379,-0.8878320114979337,-0.7585669470343218,-0.8817646202669321,0.4006271434730675,-0.6472533113154655
2,21,Patna Pirates,6,16,13,6,16,24.5,6,16,14.25,6,16,10.25,6,16,489,6,16,60,6,16,444,6,16,228,6,16,182,6,16,152,6,16,4,6,16,13,6,16,164,6,16,0.05208709581561597,-0.8838060319349137,-1.089150400269201,-1.4087320594883266,0.5477990918741429,-0.49050554583706624,-0.25226243478951177,-0.7329282639122263,-0.9241413016428379,-0.9000829402280188,-0.10444037676559499,-1.095907456617473,-0.4006271434730675,-0.15920343544453
2,21,Puneri Paltan,7,14,12,7,14,24.07,7,14,15.93,7,14,8.14,7,14,465,7,14,56,7,14,391,7,14,223,7,14,170,7,14,104,7,14,8,7,14,11,7,14,114,7,14,0.05208709581561597,-0.9991588345674935,-1.249514757507085,-0.7431673346084818,-1.2860369721039706,-0.6529127381288277,-0.4483063841116468,-1.0635670751701638,-0.974503225438088,-1.0470940849890402,-1.2258002115119837,-0.2393361112153101,-0.7211288582515215,-1.2684076987875654
2,15,Telugu Titans,8,16,26,8,16,32.25,8,16,21.5,8,16,10.75,8,16,493,8,16,66,8,16,586,8,16,344,8,16,265,8,16,158,8,16,16,8,16,16,8,16,172,8,16,-0.8718926908266111,0.6157804022886253,1.8011374336694062,1.46349666395148,0.982357400873696,-0.463437680455106,0.041803489193690854,0.1529342115335687,0.24425533040696262,0.1167441443690465,0.035729602577703606,1.4738065795890154,0.0801254286946135,0.018269246690355654
2,14,U Mumba,5,16,20,5,16,27.06,5,16,14.81,5,16,12.25,5,16,426,5,16,81,5,16,489,5,16,237,5,16,187,5,16,180,5,16,7,5,16,16,5,16,196,5,16,-1.025889321933649,-0.07633641350685419,-0.1344230641552874,-1.1868771511950447,2.286032327872355,-0.91682442560294,0.7769682991516974,-0.4521971977498265,-0.8334898388113879,-0.8388282965775932,0.5496861935031317,-0.4534789475658508,0.0801254286946135,0.5506872930950126
3,18,Bengal Warriors,4,16,17,4,16,25.0,4,16,15.63,4,16,9.38,4,16,449,4,16,70,4,16,460,4,16,250,4,16,213,4,16,137,4,16,4,4,16,13,4,16,150,4,16,-0.4099027975054976,-0.42239482140459395,-0.9026802174344523,-0.8620181783370251,-0.20833236578507872,-0.7611841996566686,0.23784743851582593,-0.6331127737211508,-0.7025488369437378,-0.52030414959538,-0.4548653251238415,-1.095907456617473,-0.4006271434730675,-0.4697806291805799
3,21,Bengaluru Bulls,1,14,12,1,14,22.07,1,14,14.93,1,14,7.14,1,14,467,1,14,69,1,14,362,1,14,209,1,14,158,1,14,94,1,14,9,1,14,7,1,14,100,1,14,0.05208709581561597,-0.9991588345674935,-1.9953954888460803,-1.1393368137036275,-2.1551535901030774,-0.6393788054378475,0.18883645118529216,-1.2444826511414881,-1.1155166120647881,-1.1941052297500618,-1.4594168437508148,-0.025193274864769404,-1.3621322878084294,-1.5789848925236152
3,28,Dabang Delhi K.C.,2,14,9,2,14,24.57,2,14,16.64,2,14,7.93,2,14,525,2,14,54,2,14,384,2,14,233,2,14,171,2,14,98,2,14,5,2,14,13,2,14,111,2,14,1.1300635135648809,-1.3452172424652333,-1.063044574672336,-0.46188700445092806,-1.4685514618837836,-0.24689475739942415,-0.5463283587727144,-1.1072363521287594,-0.873779377847588,-1.034843156258955,-1.3659701908552824,-0.8817646202669321,-0.4006271434730675,-1.3349599545881474
3,22,Jaipur Pink Panthers,3,14,11,3,14,22.14,3,14,13.79,3,14,8.36,3,14,427,3,14,59,3,14,364,3,14,193,3,14,149,3,14,101,3,14,8,3,14,16,3,14,117,3,14,0.20608372692265384,-1.1145116372000734,-1.9692896632492154,-1.590970019872094,-1.094831316144168,-0.9100574592574499,-0.30127342212004554,-1.2320057148676038,-1.276674768209588,-1.3043635883208278,-1.295885201183633,-0.2393361112153101,0.0801254286946135,-1.2018554429869832
3,13,Patna Pirates,6,16,30,6,16,31.62,6,16,20.25,6,16,11.38,6,16,468,6,16,74,6,16,594,6,16,324,6,16,241,6,16,175,6,16,16,6,16,7,6,16,182,6,16,-1.1798859530406869,1.077191612818945,1.566185003297623,0.9682848150825477,1.5299008702131336,-0.6326118390923575,0.433891387837961,0.20284195662910645,0.04280763522596252,-0.17727814515299647,0.4328778773837163,1.4738065795890154,-1.3621322878084294,0.24011009935896271
3,13,Puneri Paltan,7,16,25,7,16,27.37,7,16,15.69,7,16,11.69,7,16,433,7,16,87,7,16,510,7,16,251,7,16,203,7,16,174,7,16,9,7,16,13,7,16,187,7,16,-1.1798859530406869,0.5004275996560454,-0.018811550797742282,-0.8382480095913168,1.7993270217928554,-0.8694556611845096,1.0710342231349,-0.32118936687403987,-0.6924764521846878,-0.6428134368962312,0.4095162141598332,-0.025193274864769404,-0.4006271434730675,0.35103052569326626
3,17,Telugu Titans,8,14,13,8,14,26.42,8,14,18.14,8,14,8.29,8,14,437,8,14,44,8,14,427,8,14,254,8,14,206,8,14,101,8,14,3,8,14,15,8,14,116,8,14,-0.5638994286125355,-0.8838060319349137,-0.37310489818376485,0.1323672141917905,-1.1556694794041058,-0.8423877958025493,-1.036438232078052,-0.838982222240244,-0.6622592979075378,-0.6060606507059758,-1.295885201183633,-1.3100502929680136,-0.0801254286946135,-1.2240395282538439
3,12,U Mumba,5,16,27,5,16,26.37,5,16,15.81,5,16,10.56,5,16,397,5,16,59,5,16,502,5,16,253,5,16,206,5,16,163,5,16,7,5,16,6,5,16,169,5,16,-1.3338825841477246,0.7311332049212053,-0.39175191646724,-0.790707672099899,0.8172252434538663,-1.1130664496221516,-0.30127342212004554,-0.3710971119695776,-0.6723316826665878,-0.6060606507059758,0.1525379186971191,-0.4534789475658508,-1.5223831451976566,-0.04828300911022647
4,15,Bengal Warriors,4,14,11,4,14,23.35,4,14,14.43,4,14,8.93,4,14,438,4,14,62,4,14,378,4,14,202,4,14,167,4,14,117,4,14,4,4,14,8,4,14,125,4,14,-0.8718926908266111,-1.1145116372000734,-1.5180318207891228,-1.3374215532512004,-0.5994348438846774,-0.8356208294570593,-0.15424046012844422,-1.1446671609504127,-1.1860233053781382,-1.0838468711792957,-0.9220985896015035,-1.095907456617473,-1.2018814304192025,-1.0243827608520975
4,21,Bengaluru Bulls,1,14,9,1,14,23.21,1,14,14.36,1,14,8.86,1,14,415,1,14,59,1,14,360,1,14,201,1,14,157,1,14,109,1,14,4,1,14,15,1,14,124,1,14,0.05208709581561597,-1.3452172424652333,-1.5702434719828529,-1.3651534167878607,-0.6602730071446151,-0.9912610554033306,-0.30127342212004554,-1.2569595874153727,-1.196095690137188,-1.2063561584801468,-1.1089918953925684,-1.095907456617473,-0.0801254286946135,-1.0465668461189583
4,16,Dabang Delhi K.C.,2,14,15,2,14,25.71,2,14,16.14,2,14,9.57,2,14,412,2,14,84,2,14,419,2,14,226,2,14,162,2,14,116,2,14,11,2,14,20,2,14,134,2,14,-0.7178960597195733,-0.6531004266697538,-0.6378925578091085,-0.6599717439985009,-0.043200208365248995,-1.0115619544398007,0.9240012611432986,-0.8888899673357817,-0.944286071160938,-1.1451015148297212,-0.9454602528253866,0.403092397836312,0.7211288582515215,-0.8247259934503512
4,14,Jaipur Pink Panthers,3,16,17,3,16,25.31,3,16,16.88,3,16,8.44,3,16,450,3,16,80,3,16,475,3,16,270,3,16,203,3,16,119,3,16,6,3,16,17,3,16,135,3,16,-1.025889321933649,-0.42239482140459395,-0.7870687040769084,-0.3668063294680937,-1.0253019867042397,-0.7544172333111785,0.7279573118211636,-0.5395357516670175,-0.5011011417627378,-0.6428134368962312,-0.8753752631537373,-0.6676217839163915,0.2403762860838405,-0.8025419081834905
4,12,Patna Pirates,6,16,19,6,16,27.18,6,16,16.5,6,16,10.69,6,16,466,6,16,73,6,16,492,6,16,264,6,16,206,6,16,145,6,16,7,6,16,27,6,16,171,6,16,-1.3338825841477246,-0.1916892161394341,-0.08967022027494732,-0.5173507315242487,0.9302104037937492,-0.6461457717833377,0.3848804005074272,-0.43348179333899983,-0.5615354503170378,-0.6060606507059758,-0.2679720193327767,-0.4534789475658508,1.8428848599761105,-0.003914838576505053
4,17,Puneri Paltan,7,16,21,7,16,27.25,7,16,18.13,7,16,9.13,7,16,491,7,16,77,7,16,515,7,16,290,7,16,230,7,16,140,7,16,10,7,16,7,7,16,146,7,16,-0.5638994286125355,0.03901638912572573,-0.06356439467808238,0.12840551940083844,-0.42561152028485527,-0.47697161314608616,0.5809243498295623,-0.2899970261893288,-0.29965344658173765,-0.31203836118393286,-0.3847803354521922,0.1889495614857713,-1.3621322878084294,-0.5585169702480227
4,13,Telugu Titans,8,16,22,8,16,26.81,8,16,16.69,8,16,10.13,8,16,454,8,16,76,8,16,506,8,16,267,8,16,206,8,16,157,8,16,7,8,16,5,8,16,162,8,16,-1.1798859530406869,0.15436919175830566,-0.22765815557266184,-0.44207853049617046,0.4435050977142509,-0.7273493679292183,0.5319133624990285,-0.34614323942180875,-0.5313182960398878,-0.6060606507059758,0.012367939353820504,-0.4534789475658508,-1.6826340025868836,-0.2035716059782514
4,21,U Mumba,5,14,15,5,14,24.85,5,14,16.21,5,14,8.64,5,14,418,5,14,42,5,14,399,5,14,227,5,14,188,5,14,110,5,14,4,5,14,11,5,14,121,5,14,0.05208709581561597,-0.6531004266697538,-0.9586212722848764,-0.6322398804618405,-0.8514786631044174,-0.9709601563668604,-1.1344602067391196,-1.0136593300746262,-0.934213686401888,-0.826577367847508,-1.0856302321686853,-1.095907456617473,-0.7211288582515215,-1.1131191019195403
5,29,Bengal Warriors,4,24,27,4,24,27.0,4,24,18.96,4,24,8.04,4,24,757,4,24,87,4,24,749,4,24,455,4,24,379,4,24,181,4,24,11,4,24,12,4,24,193,4,24,1.2840601446719189,0.7311332049212053,-0.1567994860954568,0.4572261870498101,-1.3729486339038823,1.3230414347542694,1.0710342231349,1.1698045178551504,1.362290038661513,1.5133500195987506,0.5730478567270149,0.403092397836312,-0.5608780008622946,0.48413503729443047
5,25,Bengaluru Bulls,1,22,28,1,22,26.95,1,22,17.86,1,22,9.09,1,22,679,1,22,93,1,22,689,1,22,393,1,22,336,1,22,185,1,22,5,1,22,17,1,22,200,1,22,0.6680736202437674,0.8464860075537852,-0.17544650437893194,0.02143976004514927,-0.4603761850048203,0.7952180598060449,1.3651001471181026,0.7954964296386172,0.7378021836004128,0.9865600842050902,0.6664945096225473,-0.8817646202669321,0.2403762860838405,0.6394236341624554
5,35,Dabang Delhi K.C.,2,22,18,2,22,23.31,2,22,15.64,2,22,7.68,2,22,731,2,22,94,2,22,598,2,22,344,2,22,283,2,22,159,2,22,6,2,22,12,2,22,169,2,22,2.208039931314146,-0.30704201877201404,-1.532949435415904,-0.8580564835460738,-1.6858306163835601,1.147100309771528,1.4141111344486363,0.22779582917687533,0.24425533040696262,0.3372608615105787,0.059091265801586704,-0.6676217839163915,-0.5608780008622946,-0.04828300911022647
5,17,Gujarat Fortunegiants,31,24,36,31,24,27.45,31,24,16.88,31,24,10.58,31,24,641,31,24,98,31,24,775,31,24,405,31,24,335,31,24,242,31,24,11,31,24,12,31,24,254,31,24,-0.5638994286125355,1.7693084286144245,0.0110236784558169,-0.3668063294680937,0.834607575813848,0.5380733386774227,1.6101550837707714,1.332004689415648,0.8586708007090129,0.9743091554750052,1.9981093133838839,0.403092397836312,-0.5608780008622946,1.8373642385729336
5,23,Haryana Steelers,28,23,27,28,23,27.43,28,23,17.57,28,23,9.87,28,23,726,28,23,105,28,23,727,28,23,404,28,23,327,28,23,206,28,23,12,28,23,21,28,23,227,28,23,0.3600803580296917,0.7311332049212053,0.0035648711424271047,-0.09344938889244266,0.21753477703448193,1.1132654780440776,1.9532319950845078,1.0325582188424216,0.8485984159499629,0.8763017256343242,1.1570894373240923,0.6172352341868527,0.8813797156407486,1.2383939363676946
5,27,Jaipur Pink Panthers,3,22,22,3,22,23.81,3,22,16.05,3,22,7.77,3,22,723,3,22,83,3,22,631,3,22,353,3,22,288,3,22,162,3,22,13,3,22,10,3,22,171,3,22,0.9760668824578431,0.15436919175830566,-1.3464792525811549,-0.695626997117064,-1.6076101207636406,1.0929645790076075,0.874990273812765,0.4336652776959686,0.33490679323841266,0.3985155051610043,0.129176255473236,0.8313780705373934,-0.8813797156407486,-0.003914838576505053
5,29,Patna Pirates,6,26,55,6,26,34.19,6,26,24.5,6,26,9.69,6,26,921,6,26,95,6,26,1050,6,26,637,6,26,487,6,26,226,6,26,26,6,26,27,6,26,252,6,26,1.2840601446719189,3.9610116786334433,2.524641743068231,2.652005101236917,0.061093785794643064,2.432823915414639,1.4631221217791701,3.047583427074758,3.195464064808614,2.836450322447944,1.6243227018017543,3.6152349430944226,1.8428848599761105,1.792996068039212
5,23,Puneri Paltan,7,24,32,7,24,27.08,7,24,15.79,7,24,11.29,7,24,683,7,24,119,7,24,766,7,24,379,7,24,304,7,24,252,7,24,12,7,24,21,7,24,271,7,24,0.3600803580296917,1.3078972180841049,-0.12696425684189763,-0.7986310616818024,1.4516803745932125,0.8222859251880051,2.6393858177119807,1.275858476183168,0.5967887969737128,0.5945303648423663,2.2317259456227148,0.6172352341868527,0.8813797156407486,2.2144936881095654
5,31,Tamil Thalaivas,29,22,19,29,22,27.77,29,22,18.64,29,22,9.14,29,22,752,29,22,89,29,22,681,29,22,410,29,22,351,29,22,184,29,22,5,29,22,17,29,22,201,29,22,1.5920534068859946,-0.1916892161394341,0.13036459547005627,0.33045195373936337,-0.4169203541048644,1.2892066030268192,1.1690561977959675,0.7455886845430795,0.909032724504263,1.1703240151563672,0.6431328463986642,-0.8817646202669321,0.2403762860838405,0.6616077194293162
5,26,Telugu Titans,8,22,25,8,22,27.59,8,22,18.18,8,22,9.41,8,22,698,8,22,88,8,22,696,8,22,400,8,22,332,8,22,191,8,22,10,8,22,17,8,22,207,8,22,0.8220702513508052,0.5004275996560454,0.06323532964954678,0.148213993355596,-0.1822588672451061,0.923790420370356,1.1200452104654337,0.8391657065972128,0.8083088769137629,0.9375563692847497,0.8066644889658459,0.1889495614857713,0.2403762860838405,0.7947122310304804
5,36,U Mumba,5,22,21,5,22,28.22,5,22,19.05,5,22,9.18,5,22,757,5,22,78,5,22,707,5,22,419,5,22,322,5,22,176,5,22,10,5,22,26,5,22,202,5,22,2.3620365624211836,0.03901638912572573,0.29818776002132996,0.49288144016837315,-0.3821556893849009,1.3230414347542694,0.6299353371600961,0.9077888561035772,0.999684187335713,0.8150470819838985,0.4562395406075994,0.1889495614857713,1.6826340025868836,0.6837918046961768
5,32,U.P. Yoddha,30,23,23,30,23,28.78,30,23,20.04,30,23,8.74,30,23,763,30,23,83,30,23,762,30,23,461,30,23,358,30,23,183,30,23,23,30,23,19,30,23,201,30,23,1.7460500379930324,0.26972199439088557,0.5070343647962495,0.8850892244725668,-0.7645670013045072,1.36364323282721,0.874990273812765,1.2509046036353992,1.422724347215813,1.256080516266963,0.6197711831747811,2.9728064340428,0.5608780008622946,0.6616077194293162
6,23,Bengal Warriors,4,23,23,4,23,27.65,4,23,18.96,4,23,8.7,4,23,734,4,23,85,4,23,725,4,23,436,4,23,340,4,23,186,4,23,16,4,23,16,4,23,200,4,23,0.3600803580296917,0.26972199439088557,0.08561175158971618,0.4572261870498101,-0.7993316660244723,1.1674012088079981,0.9730122484738324,1.020081282568537,1.170914728239563,1.0355637991254307,0.6898561728464304,1.4738065795890154,0.0801254286946135,0.6394236341624554
6,24,Bengaluru Bulls,1,24,37,1,24,32.37,1,24,22.79,1,24,9.58,1,24,766,1,24,73,1,24,887,1,24,547,1,24,431,1,24,219,1,24,20,1,24,12,1,24,230,1,24,0.5140769891367295,1.8846612312470046,1.845890277549745,1.9745552919842175,-0.03450904218525812,1.38394413186368,0.3848804005074272,2.0307131207531763,2.2889494364941134,2.1503983135631772,1.4607910592345728,2.3303779249911782,-0.5608780008622946,1.3049461921682766
6,28,Dabang Delhi K.C.,2,24,34,2,24,29.12,2,24,20.13,2,24,9.0,2,24,824,2,24,73,2,24,822,2,24,483,2,24,401,2,24,198,2,24,13,2,24,19,2,24,216,2,24,1.1300635135648809,1.5386028233492648,0.6338340891238787,0.9207444775911299,-0.5385966806247398,1.7764281799021033,0.3848804005074272,1.6252126918519323,1.6443168119149132,1.7828704516606233,0.9701961315330275,0.8313780705373934,0.5608780008622946,0.9943689984322267
6,20,Gujarat Fortunegiants,31,25,36,31,25,30.16,31,25,19.2,31,25,10.96,31,25,769,31,25,74,31,25,876,31,25,480,31,25,392,31,25,258,31,25,10,31,25,18,31,25,274,31,25,-0.10190953529142188,1.7693084286144245,1.021692069420156,0.5523068620326445,1.164871890653509,1.4042450309001502,0.433891387837961,1.962089971246812,1.6140996576377633,1.6726120930898571,2.3718959249660134,0.1889495614857713,0.4006271434730675,2.2810459439101476
6,33,Haryana Steelers,28,22,16,28,22,29.09,28,22,20.32,28,22,8.77,28,22,806,28,22,45,28,22,715,28,22,447,28,22,361,28,22,180,28,22,12,28,22,15,28,22,193,28,22,1.9000466691000701,-0.5377476240371739,0.6226458781537934,0.9960166786192081,-0.7384935027645345,1.6546227856832822,-0.9874272447475183,0.9576966011991149,1.281710960589113,1.2928333024572183,0.5496861935031317,0.6172352341868527,-0.0801254286946135,0.48413503729443047
6,32,Jaipur Pink Panthers,3,22,22,3,22,29.09,3,22,18.86,3,22,10.23,3,22,780,3,22,75,3,22,711,3,22,415,3,22,334,3,22,202,3,22,13,3,22,25,3,22,225,3,22,1.7460500379930324,0.15436919175830566,0.6226458781537934,0.41760923914029496,0.5304167595141612,1.4786816607005409,0.48290237516849477,0.932742728651346,0.9593946482995129,0.96205822674492,1.06364278442856,0.8313780705373934,1.5223831451976566,1.194025765833973
6,30,Patna Pirates,6,22,30,6,22,31.68,6,22,22.55,6,22,9.14,6,22,835,6,22,54,6,22,799,6,22,496,6,22,406,6,22,186,6,22,11,6,22,16,6,22,201,6,22,1.4380567757789566,1.077191612818945,1.5885614252377924,1.8794746170013832,-0.4169203541048644,1.850864809702494,-0.5463283587727144,1.4817279247022612,1.7752578137825634,1.8441250953110488,0.6898561728464304,0.403092397836312,0.0801254286946135,0.6616077194293162
6,29,Puneri Paltan,7,22,14,7,22,25.68,7,22,15.73,7,22,9.95,7,22,694,7,22,71,7,22,649,7,22,346,7,22,286,7,22,189,7,22,7,7,22,34,7,22,219,7,22,1.2840601446719189,-0.7684532293023337,-0.6490807687791939,-0.8224012304275107,0.2870641064744105,0.8967225549883958,0.2868584258463597,0.5459577041609285,0.26440009992506264,0.37401364770083406,0.7599411625180796,-0.4534789475658508,2.9646408617006994,1.0609212542328088
6,27,Tamil Thalaivas,29,22,20,29,22,27.63,29,22,19.05,29,22,8.59,29,22,741,29,22,67,29,22,671,29,22,419,29,22,344,29,22,174,29,22,7,29,22,15,29,22,189,29,22,0.9760668824578431,-0.07633641350685419,0.07815294427632638,0.49288144016837315,-0.8949344940043734,1.2147699732264285,0.09081447652422463,0.6832040031736573,0.999684187335713,1.0845675140457713,0.4095162141598332,-0.4534789475658508,-0.0801254286946135,0.39539869622698764
6,25,Telugu Titans,8,22,18,8,22,26.63,8,22,16.05,8,22,10.59,8,22,702,8,22,85,8,22,647,8,22,353,8,22,289,8,22,202,8,22,9,8,22,33,8,22,233,8,22,0.6680736202437674,-0.30704201877201404,-0.2947874213931713,-0.695626997117064,0.8432987419938389,0.9508582857523162,0.9730122484738324,0.533480767887044,0.33490679323841266,0.41076643389108947,1.06364278442856,-0.025193274864769404,2.8043900043114727,1.3714984479688588
6,16,U Mumba,5,23,41,5,23,32.52,5,23,19.96,5,23,12.57,5,23,672,5,23,89,5,23,856,5,23,459,5,23,372,5,23,274,5,23,15,5,23,15,5,23,289,5,23,-0.7178960597195733,2.346072441777324,1.9018313324001717,0.8533956661449559,2.5641496456320696,0.7478492953876145,1.1690561977959675,1.8373206085079676,1.4025795776977132,1.4275935184881547,2.745682536548143,1.2596637432384747,-0.0801254286946135,2.6138072229130582
6,30,U.P. Yoddha,30,25,26,30,25,28.56,30,25,17.96,30,25,10.6,30,25,847,30,25,86,30,25,812,30,25,449,30,25,357,30,25,240,30,25,10,30,25,27,30,25,265,30,25,1.4380567757789566,0.6157804022886253,0.42498748434895917,0.061056707954664405,0.8519899081738298,1.9320684058483748,1.0220232358043662,1.56282801048251,1.3018557301072131,1.243829587536878,1.9513859869361179,0.1889495614857713,1.8428848599761105,2.0813891765084014
