season,allouts_conceded,team_name,team_id_0,match_played_0,allouts_inflicted,team_id_1,match_played_1,avg_points_scored,team_id_2,match_played_2,avg_raid_points,team_id_3,match_played_3,avg_tackle_points,team_id_4,match_played_4,conceded_points,team_id_5,match_played_5,do_or_die_points,team_id_6,match_played_6,points_scored,team_id_7,match_played_7,raid_points,team_id_8,match_played_8,successful_raids,team_id_9,match_played_9,successful_tackles,team_id_10,match_played_10,super_raids,team_id_11,match_played_11,super_tackles,team_id_12,match_played_12,tackle_points,team_id_13,match_played_13,z_score_allouts_conceded,z_score_allouts_inflicted,z_score_avg_points_scored,z_score_avg_raid_points,z_score_avg_tackle_points,z_score_conceded_points,z_score_do_or_die_points,z_score_points_scored,z_score_raid_points,z_score_successful_raids,z_score_successful_tackles,z_score_super_raids,z_score_super_tackles,z_score_tackle_points
1,25,Bengal Warriors,4,14,11,4,14,28.92,4,14,20.21,4,14,8.71,4,14,515,4,14,30,4,14,430,4,14,283,4,14,213,4,14,106,4,14,11,4,14,16,4,14,122,4,14,0.6680736202437674,-1.1145116372000734,0.5592460159899795,0.9524380359187422,-0.7906404998444798,-0.31456442085432473,-1.7225920547055247,-0.8202668178294173,-0.37016013989508767,-0.52030414959538,-1.1790768850642175,0.403092397836312,0.0801254286946135,-1.0909350166526797
1,15,Bengaluru Bulls,1,16,20,1,16,28.37,1,16,18.19,1,16,10.19,1,16,479,1,16,40,1,16,498,1,16,291,1,16,225,1,16,153,1,16,7,1,16,10,1,16,163,1,16,-0.8718926908266111,-0.07633641350685419,0.3541288148717554,0.15217568814654808,0.49565209479419614,-0.5581752092919668,-1.2324821814001872,-0.3960509845173465,-0.2895810618226876,-0.37329300483435846,-0.0810787135417119,-0.4534789475658508,-0.8813797156407486,-0.1813875207113907
1,23,Dabang Delhi K.C.,2,14,18,2,14,29.92,2,14,20.36,2,14,9.57,2,14,471,2,14,31,2,14,456,2,14,285,2,14,246,2,14,124,2,14,5,2,14,10,2,14,134,2,14,0.3600803580296917,-0.30704201877201404,0.9321863816594771,1.0118634577830135,-0.043200208365248995,-0.6123109400558873,-1.673581067374991,-0.6580666462689196,-0.35001537037698766,-0.11602350150257086,-0.7585669470343218,-0.8817646202669321,-0.8813797156407486,-0.8247259934503512
1,15,Jaipur Pink Panthers,3,16,29,3,16,32.12,3,16,21.5,3,16,10.63,3,16,458,3,16,50,3,16,579,3,16,344,3,16,270,3,16,158,3,16,9,3,16,12,3,16,170,3,16,-0.8718926908266111,0.9618388101863651,1.7526551861323705,1.46349666395148,0.8780634067138039,-0.7002815025472581,-0.7423723080948494,0.10926493457497319,0.24425533040696262,0.1779987880194721,0.035729602577703606,-0.025193274864769404,-0.5608780008622946,-0.02609892384336576
1,17,Patna Pirates,6,16,18,6,16,28.62,6,16,19.75,6,16,8.88,6,16,487,6,16,42,6,16,504,6,16,316,6,16,253,6,16,124,6,16,13,6,16,18,6,16,142,6,16,-0.5638994286125355,-0.30704201877201404,0.44736390628912986,0.7702000755349749,-0.6428906747846318,-0.5040394785280464,-1.1344602067391196,-0.3586201756956932,-0.03777144284643752,-0.03026700039197499,-0.7585669470343218,0.8313780705373934,0.4006271434730675,-0.6472533113154655
1,26,Puneri Paltan,7,14,12,7,14,26.85,7,14,19.21,7,14,7.64,7,14,536,7,14,48,7,14,405,7,14,269,7,14,204,7,14,93,7,14,11,7,14,14,7,14,107,7,14,0.8220702513508052,-0.9991588345674935,-0.21274054094588093,0.5562685568235965,-1.7205952811035243,-0.1724581275990335,-0.840394282755917,-0.9762285212529729,-0.5111735265217877,-0.630562508166146,-1.482778506974698,0.403092397836312,-0.2403762860838405,-1.4236962956555903
1,14,Telugu Titans,8,14,25,8,14,31.42,8,14,24.0,8,14,7.43,8,14,474,8,14,31,8,14,497,8,14,336,8,14,272,8,14,96,8,14,8,8,14,8,8,14,104,8,14,-1.025889321933649,0.5004275996560454,1.4915969301637237,2.4539203616893444,-1.9031097708833367,-0.5920100410194171,-1.673581067374991,-0.4022894526542887,0.16367625233456257,0.20250064547964236,-1.4126935173030486,-0.2393361112153101,-1.2018814304192025,-1.4902485514561723
1,19,U Mumba,5,16,21,5,16,31.5,5,16,21.69,5,16,9.81,5,16,499,5,16,40,5,16,550,5,16,347,5,16,270,5,16,145,5,16,12,5,16,12,5,16,157,5,16,-0.25590616639845976,0.03901638912572573,1.5214321594172828,1.5387688649795581,0.16538777995453666,-0.4228358823821657,-1.2324821814001872,-0.07165064139635115,0.2744724846841126,0.1779987880194721,-0.2679720193327767,0.6172352341868527,-0.5608780008622946,-0.31449203231255496
2,17,Bengal Warriors,4,14,10,4,14,22.85,4,14,13.14,4,14,9.71,4,14,430,4,14,59,4,14,367,4,14,184,4,14,134,4,14,116,4,14,9,4,14,21,4,14,136,4,14,-0.5638994286125355,-1.2298644398326535,-1.7045020036238718,-1.848480181283938,0.07847611815462636,-0.8897565602209797,-0.30127342212004554,-1.2132903104567772,-1.3673262310410381,-1.4881275192721046,-0.9454602528253866,-0.025193274864769404,0.8813797156407486,-0.7803578229166298
2,16,Bengaluru Bulls,1,16,25,1,16,26.0,1,16,15.75,1,16,10.25,1,16,457,1,16,80,1,16,508,1,16,252,1,16,194,1,16,158,1,16,10,1,16,7,1,16,164,1,16,-0.7178960597195733,0.5004275996560454,-0.5297398517649545,-0.8144778408456079,0.5477990918741429,-0.7070484688927481,0.7279573118211636,-0.33366630314792434,-0.6824040674256379,-0.7530717954669973,0.035729602577703606,0.1889495614857713,-1.3621322878084294,-0.15920343544453
