player_name,offense_points,defense_points,overall_points,total_seasons,primary_position
Deepak Niwas Hooda,39.63934089375554,14.541227713443025,28.578925081284382,7,All Rounder
Deepak Yadav,0.0,45.89047438471327,18.789794089928673,1,"Defender, right cover"
Dharmaraj Cheralathan,2.0884239213023155,56.84041718295634,25.824730402214495,7,"Defender, right and left corner"
Dharmender,9.989797792913564,0.0,4.266921827192526,1,Raider
Dinesh Kumar,8.716857895548868,0.0,4.516553456322528,1,All Rounder
Dong Geon Lee,13.448105129821103,0.0,6.643921365388242,3,Raider
Dong Ju Hong,0.2121331084726182,0.0,0.13905378539446736,1,All Rounder
Dovlet Boshimov,9.404638029631219,0.0,3.978657379874168,1,Raider
E Subash,0.0,11.859339438309988,4.852136859334837,2,All Rounder
Ehsan Zamani Fard,1.1525127199993015,15.53355771392974,6.999631425604138,1,"Defender, left corner"
Elangeshwaran R,4.577375617592754,15.224165451990068,8.78782509991985,1,All Rounder
Elavarasan A,0.0,33.19379115623142,13.494318630514249,1,"Defender, left cover"
Emad Sedaghatnia,6.232010361219114,0.0,2.5470046864930658,1,Raider
Farhad Kamal Gharibi,0.0,5.326363828478123,2.2389466154020896,1,"Defender, left corner"
Farhad Rahimi Milaghardan,5.080523764918802,29.168063627282294,15.759055553086403,3,All Rounder
Fazel Atrachali,0.1992565809049682,64.74807244095638,28.589591048672272,6,"Defender, left corner"
G.S. Manikandan,0.0,16.984992274896204,7.092099890988292,2,"Defender, left cover"
Gangadhari Mallesh,10.496725945910583,12.123406513179457,9.603608539191573,4,Raider
Gaurav Kumar,10.765031874881672,0.0,4.414413833963509,1,Raider
Girish Maruti Ernak,0.450625376912865,56.34711767724458,24.724517275863523,7,"Defender, left corner"
Gnanasekaran M,1.593979907602409,18.313314852138735,8.342321697934398,1,"Defender, right corner"
Gokul Shitole,0.0,15.264759424674356,6.214304853880583,1,"Defender, right corner"
Gulveer Singh,5.765509365530047,0.0,2.468805372228279,1,Raider
Gurpreet Singh,0.47208282642104604,22.114799235977237,9.793560413035197,2,"Defender, right corner"
Gurvinder Singh,13.193913829617287,7.520808378783546,9.116963860776774,5,Raider
Hadi Oshtorak,0.5115824454178088,29.58366614590288,13.004675768958265,6,All Rounder
Hadi Tajik,0.4776819569849635,18.862526702630248,8.097420410548885,3,"Defender, right corner"
Hardeep Duhan,0.0,9.647322359600945,3.9131294858457983,1,"Defender, right corner"
Harendra Kumar,0.0,25.438198467262918,10.879886432975628,1,"Defender, left cover"
Harish Naik,15.788174943461843,0.0,7.534782172506689,2,Raider
Harmanjit Singh,5.812341464196179,0.0,2.541738753700152,1,Raider
Harvinder Singh,0.0,48.22378691500846,19.723119102046745,1,"Defender, right cover"
Hyunil Park,0.5042160724349767,0.21853355665365498,0.4517014776517129,1,All Rounder
Inderpal Bishnoi,11.97115057831748,0.0,4.842660773332412,1,Raider
Isac Antony,10.002503032205563,4.8093227662495535,6.3312343844226975,2,Raider
Jadhav Balasaheb Shahaji,0.0,41.51325686560355,17.743514128355244,1,"Defender, right cover"
Jagdeesha K.K.,0.0,23.431928606067764,9.643774152454206,1,"Defender, right corner"
Jaideep,0.0,61.69274638288399,27.748462600127397,3,"Defender, left corner"
Jang Kun Lee,29.99242752122959,5.2084464104544805,17.634356541314745,7,Raider
Jasmer Singh Gulia,0.0,27.782754334044597,12.052577795045122,3,All Rounder
Jasvir Singh,27.646148079435918,9.178587280313703,18.451664694938692,6,Raider
Jawahar Dagar,3.5464027998706236,24.617731403545292,12.132862353453087,4,Defender
Jay Bahadur Bohara,8.808804154871924,0.0,3.63192274595961,1,Raider
Jeeva Gopal,0.0,16.643891818501498,6.874358895422279,3,"Defender, left cover"
Jeeva Kumar,0.04927643003824476,50.36618795746059,21.885117230028573,7,"Defender, right and left cover"
Jishnu,0.0,7.641145365323617,3.1106586881348672,1,"Defender, right cover"
Jitesh Joshi,10.788957382695614,17.75496713582876,13.287488506596745,2,All Rounder
Joginder Singh Narwal,0.2729805106500178,49.10035635171799,21.537952631126068,5,"Defender, left corner"
K. Prapanjan,27.029964208606415,0.7778709362890951,14.348066307280698,6,Raider
Kalimuthu Balamahendran,4.478762424342927,36.60893663247643,17.600391275844274,2,"Defender, left corner"
Kamal Singh,7.862579394448094,2.5499684909546487,4.625723761207168,2,Raider
Kashiling Adake,42.24841918008795,9.448063499571436,26.112197407907118,4,Raider
Kazuhiro Takano,0.349473885417527,0.0,0.19399009617243085,1,All Rounder
Kedar Lal,15.932597889203642,0.29765777475994354,7.196709311655895,1,Raider
Krushna Madane,0.13705442097861034,26.67838712169743,11.132680682111069,2,Defender
Kuldeep,5.360000000000001,0.3815281986635024,2.4050123634762417,1,Raider
Kuldeep Singh,5.395309764237587,37.965671095405995,18.862007520009193,6,All Rounder
Lalit Chaudhary,9.57634134280293,0.9299126723937234,4.446404045103051,2,Raider
Lokesh Kaushik,7.188365715213924,0.3418643762265226,3.228894204597859,1,Raider
M. Abishek,0.0,8.118454047510944,3.301582161009798,1,"Defender, right cover"
M. Thivakaran,8.67807722262402,0.37530763024083963,4.488562613232665,1,Raider
Mahender Singh,0.08599026223012797,62.945048978262236,28.19344550649505,3,"Defender, left cover"
Mahendra Ganesh Rajput,24.176752119681677,5.611592202034988,14.029158866898047,5,Raider
Mahesh Goud,16.376532475519483,6.284753033066555,10.771831276605148,6,Raider
Mahesh Maruti Magdum,1.9484465057568605,0.0,1.1587823963406847,1,All Rounder
Mahipal Narwal,6.206083726563087,22.044759423013435,12.479199048448496,4,All Rounder
Mandeep Kumar,12.96501232857067,0.0,5.45700764145537,1,Raider
Mangesh Bhagat,18.62444620663035,2.6567435986227164,10.030091098252989,1,Raider
Maninder Singh,60.57185057465176,3.0358689812009834,34.562329014753026,4,Raider
Manish,0.0,30.134670053672263,13.056578048569175,2,"Defender, right cover"
Manjeet,35.126932741920626,23.537589233635167,28.723261364748065,2,Raider
Manjeet Chhillar,11.281003204176203,65.26306808445725,34.95367187588699,7,All Rounder
Manoj Dhull,0.0,24.19875547754495,10.004705443050499,4,"Defender, right corner"
Manoj Kumar,1.8624134139818254,27.853173739145497,12.796803966941987,5,"Defender, left cover"
Manpreet Singh,14.420948330822526,6.739231745592278,10.035887748723102,1,Raider
Mayur Shivtarkar,0.9658235836128645,11.065924018179787,5.408905002776682,3,All Rounder
Md. Aruduzzaman Munshi,11.03866845731447,0.0,4.523868466936628,1,Raider
Md. Masud Karim,11.038998540690699,0.0,4.57820104229254,1,Raider
Meraj Sheykh,21.64645175375377,13.334299591756354,17.533402615891493,6,All Rounder
Mithin Kumar,2.8386545489835204,0.0,1.2980634456096687,1,Raider
Mohammad Esmaeil Maghsoudlou Mahalli,17.664221218770294,11.210946842710602,13.44708619478206,1,Raider
Mohammad Esmaeil Nabibakhsh,22.081536030691442,33.23209427745866,26.786698735726166,1,All Rounder
Mohammad Maghshoudulu,3.696641839352062,0.1709321872670624,1.9535336756883002,2,All Rounder
Mohammad Taghi Paein Mahali,3.16,0.23812622021851773,1.4134510300928276,1,Raider
Mohan Raman G,11.894308519308202,0.0,5.191327743766641,1,Raider
Mohit Chhillar,0.272953218954813,59.182355433029535,25.942402206438338,7,"Defender, right corner"
Mohit Sehrawat,2.7494350344111123,27.977105118467033,13.157824733237977,1,"Defender, right cover"
Mohsen Maghsoudloujafari,11.939739606439792,13.991824771179743,12.359978957913215,3,All Rounder
Monu,17.004848900074105,26.751407682670205,19.99572756534705,3,Raider
Monu Goyat,41.96318989491682,7.423195639302636,26.190868576831416,4,Raider
More Gb,22.92389610606527,13.047204593547121,17.22493531146194,3,Raider
Munish,7.6907920527904405,0.0,3.130517363121596,1,Raider
Muruthu M,0.0,26.17236432196614,10.631547354802716,1,"Defender, right cover"
N. Renjith,0.0,26.146294235065763,11.108924198091346,1,"Defender, left corner"
N. Shiva Ramakrishna,0.0,1.2209322961132556,0.5967740024561423,1,All Rounder
Narender,0.0,33.78417209149003,15.790091600823656,1,All Rounder
Naveen,30.730464022191594,9.590611926341547,20.328972384833314,2,Raider
Naveen Kumar,60.98230958132312,2.8589597093424954,35.075803109220175,2,Raider
Naveen Narwal,0.0,13.234155998110127,5.347862941249471,1,"Defender, right cover"
Navjot Singh,0.0,4.952329610382464,2.035132386158406,1,"Defender, right cover"
Navneet Gautam,0.09718141718068866,16.027377824877224,6.847294338196245,3,"Defender, left corner"
Neeraj Kumar,0.0,38.86905014018145,16.84843306420266,2,"Defender, right cover"
Nilesh Salunke,27.084629137176897,2.86956607521532,15.11446941287017,5,Raider
Nilesh Shinde,1.1650648314300427,47.55905989850178,21.148186477338584,5,"Defender, right corner"
Nirbhay Narwal,0.6076425159406118,5.6073223596009445,2.5943870342274624,1,"Defender, left corner"
Nitesh Kumar,0.16166183552395214,72.39041848988994,32.41739942917189,3,Defender
Nithesh B R,0.0,3.2776634795075235,1.3652659338084294,1,"Defender, right corner"
Nitin Kumar,0.7288827271898812,0.0,0.3457536328813726,1,All Rounder
Nitin Madane,29.54081690885288,6.36521997858534,17.487979343954514,3,Raider
Nitin More,0.0,23.385899107174293,9.697629742237377,3,"Defender, left cover"
Nitin Rawal,15.60508601297253,21.107066730629672,17.611690365733565,3,All Rounder
Nitin Tomar,31.466366251344567,5.832837452824476,19.559247877331575,5,Raider
Palle Mallikarjun,7.900329932106163,0.0,3.2685330568533058,1,Raider
Pankaj,0.0,24.087054545085522,10.104559848747849,3,All Rounder
Pankaj Mohite,35.31356338774575,1.6572908210972597,18.257176371884086,1,Raider
Pardeep Narwal,61.81202127436486,1.4811725664469124,34.684937879594806,6,Raider
Parmod Narwal,1.877865206572408,10.734267161490049,5.7088095867913795,4,All Rounder
Parveen,0.32564503373440157,30.6611195551641,13.261914507646122,2,"Defender, left cover"
Parveen Kumar,0.0,14.735862697705901,6.056946705098621,1,"Defender, right cover"
Parveen M. Jangra,0.4141130517372155,19.431412416923262,8.263413439496711,1,"Defender, left cover"
Parveen Narwal,0.32291238971399744,0.0,0.18336549789101905,1,All Rounder
Parvesh,9.13112636628053,13.579431037206987,9.734629465460047,1,Raider
Parvesh Attri,7.8076425159406115,0.0,3.177257548381665,1,Raider
Parvesh Bhainswal,0.0,49.40231035853062,22.037346907639893,4,"Defender, left cover"
Pavan T. R.,0.0,28.512086731294318,12.001040654577348,1,"Defender, right cover"
Pawan Kumar Kadian,21.40827280721353,0.5669632608152007,10.934887303711687,7,Raider
Pawan Kumar Sehrawat,49.285650440276,10.564229349632534,31.555128067724937,4,Raider
Po Surjeet Singh,0.4766865202597324,68.87464623449318,30.537281069380846,5,"Defender, right cover"
Ponparthiban Subramanian,0.0,19.658609222155427,8.351248566910952,2,"Defender, right cover"
Pradeep Kumar,17.10582447802926,6.746106804917057,10.949986605319447,1,Raider
Prashant Chavan,0.07002278048428352,28.80618807577539,12.322842066081105,4,"Defender, right corner"
Prashanth Kumar Rai,22.648520402632517,1.8515500460784706,12.57199875633302,7,Raider
Prateek,0.6512900674688031,0.3836477997554152,0.6849778569167877,1,All Rounder
Pravin Niwale,14.833924405319861,1.8009077294044014,7.810211083338667,3,Raider
Preetam Chhillar,1.6104458630847645,11.547674622049287,5.845904020611887,4,All Rounder
Punit Kumar Teotia,7.9687326498933775,8.75020733283759,6.958578703119487,1,Raider
Purna Singh,6.675356002666113,0.0,2.8869445690881257,1,Raider
R. Sriram,21.572875616209426,1.6037606963787885,11.221874037230407,1,Raider
Rahul Chaudhari,51.76901682173421,12.265625313909359,33.17870393129963,7,Raider
Rahul Choudhary,8.909667928458909,0.21313766639921689,3.9743254899757705,1,Raider
Rahul Kumar,0.0,27.299008411444362,11.317074005950824,3,"Defender, right cover"
Rajaguru Subramanian,0.04460973559486052,25.970712872521972,11.002335005306355,5,"Defender, right cover"
Rajeev Kumar,0.0,34.9937071733298,14.2142850373536,1,"Defender, left corner"
Rajesh Mondal,26.089962855814345,2.22166840286381,13.763676893715166,6,Raider
Rajesh Narwal,20.315410516817696,26.15211672383353,22.173280092285783,6,All Rounder
Rajnish,13.843724712548683,0.13487617929710455,6.323147673811487,2,Raider
Raju Lal Choudhary,0.0,18.334864038295162,7.903051306374976,2,"Defender, right corner"
Rakesh Gowda,8.255570079333939,19.570116151221796,11.997483164309015,1,Raider
Rakesh Kumar,12.994775345522475,26.890154856798404,18.772400265210198,5,All Rounder
Rakesh Narwal,9.717150412857098,0.08207874154234945,4.624298707830239,4,Raider
Rakesh Singh Kumar,0.07594501752647996,27.188319122424552,11.583212431048164,4,"Defender, left cover"
Rakshith,10.636507859801197,0.18077645020437072,5.085721312078109,2,Raider
Ram Kumar Sah,0.8750441133591315,41.277140569695256,17.836483629319318,1,"Defender, left cover"
Ran Singh,5.335804074429811,41.51550093268624,21.202775196806932,7,All Rounder
Ravi Dalal,23.310154421651692,3.6919137080854325,13.226301506637398,4,Raider
Ravi Kumar,0.0,46.29922579741945,20.05898571192171,5,"Defender, right cover"
Ravi V.,11.149672318980361,0.0,4.893473263635506,1,Raider
Ravinandan G.M.,0.0,4.752329610382464,1.955132386158406,1,"Defender, left corner"
Ravinder,0.0,17.541329388899328,7.179133381575993,1,All Rounder
Ravinder Kumar,0.0,14.916738153091277,6.237697971263612,2,All Rounder
Ravinder Pahal,0.6194508457272792,70.14651859066974,30.745412164802712,7,"Defender, right corner"
Ravindra Ramesh Kumawat,6.879093373314595,2.483289093935984,4.594094811651813,3,All Rounder
Ravit Kumar,10.201167394460676,5.281145365323617,6.301326187924558,1,Raider
Rinku Narwal,0.2553640394678693,44.28874700038755,19.353326439429072,3,Defender
Rishank Devadiga,40.421524278433715,8.537835694067711,24.376620489194146,7,Raider
Rohit,13.437110965238091,0.0,5.591646554116918,1,Raider
Rohit Baliyan,26.504266677934243,7.059801550800654,16.590938944610492,5,Raider
Rohit Gulia,18.911745454948885,3.6972542180226022,12.151097610832679,3,All Rounder
Rohit Kumar,41.92143867672053,9.754084347416352,26.9213383876132,5,Raider
Rohit Kumar Choudary,18.94597993570698,1.0689075075867507,9.306767985447575,4,Raider
Rohit Kumar Prajapat,4.28,0.3418643745341248,1.9029462918190705,1,Raider
Rohit Rana,0.10683635615993216,36.76428476257871,15.99506091362012,6,"Defender, left cover"
Rupesh Tomar,0.33707675340606863,13.62595106494333,5.842663701865505,4,All Rounder
Ruturaj Shivaji Koravi,0.0,33.33491955156562,14.770282183769881,2,Defender
S Mahalingam,0.0,36.15370662099852,15.328691320486133,1,All Rounder
Sachin,53.98145556894224,12.25002409110429,35.869285630956284,1,Raider
Sachin Khambe,1.0507180777711167,60.57893491600259,26.033975018647695,2,"Defender, left corner"
Sachin Kumar,2.3074819663799957,18.798316914366783,9.833466797104494,3,All Rounder
Sachin Narwal,6.067637839093043,0.24315705582150798,3.120523920025441,1,All Rounder
Sachin Shingade,0.0,42.35295415077241,18.016159076749798,6,"Defender, left cover"
Sachin Tanwar,47.729279712956796,7.302806098984883,29.30280722450567,2,Raider
Sachin Vittala,3.4255585514128004,18.81746391292762,9.95411955484186,2,"Defender, left corner"
Saeid Ghaffari,0.0,21.040332135214925,8.84973719012933,1,"Defender, left cover"
Sagar,0.0,30.630921677079183,12.740173548880454,1,"Defender, right corner"
Sagar B Krishna,0.06096258673829816,18.84629989549393,8.416563529478259,4,All Rounder
Sagar Khatale,0.0,29.71656075037923,12.266028094189634,2,"Defender, right corner"
Samarjeet Singh,0.33762272846753955,14.700776385714269,6.412830287045804,3,All Rounder
Sandeep,2.553782271391277,23.99631592136161,11.143977849820217,2,"Defender, left corner"
Sandeep Kandola,2.8603664731219407,81.11105091296812,37.38260489481543,1,"Defender, left corner"
Sandeep Kumar Dhull,0.06618894289157576,76.58853072217144,33.22286347578131,4,"Defender, left corner"
Sandeep Malik,0.0,10.128533556653654,4.159814506672302,1,"Defender, left corner"
Sandeep Narwal,12.567396417628435,53.80671368318042,30.676628167307673,7,All Rounder
Sandeep Tomar,13.243105928812529,0.0,5.405643455535852,1,Raider
Sanjay Kumar,8.510016244906286,2.742341100993593,5.368151610446673,1,All Rounder
Sanju,8.8,4.622066928866419,5.423027313551987,1,Raider
Sanket Chavan,0.0,27.2668428164557,11.31324119162293,2,"Defender, left corner"
Sanoj Kumar,0.4877006939063868,14.793380684100937,6.275034177219189,1,"Defender, left cover"
Santhapanaselvam,0.0,24.576451713513915,10.480987189470609,3,All Rounder
