From_Token,To_Token,Support
doordie_tackle_fail_U.P. Yoddha_vs_Telugu Titans,doordie_tackle_fail_U.P. Yoddha_vs_Telugu Titans,12
doordie_tackle_fail_Bengal Warriors_vs_Telugu Titans,doordie_tackle_fail_Bengal Warriors_vs_Telugu Titans,8
doordie_tackle_fail_Patna Pirates_vs_Telugu Titans,doordie_tackle_fail_Patna Pirates_vs_Telugu Titans,5
doordie_tackle_fail_Tamil Thalaivas_vs_Bengal Warriors,doordie_tackle_fail_Tamil Thalaivas_vs_Bengal Warriors,5
