From_Token,To_Token,Support
doordie_tackle_fail_U.P. Yoddha_vs_Bengaluru Bulls,doordie_tackle_fail_U.P. Yoddha_vs_Bengaluru Bulls,14
doordie_tackle_fail_Gujarat Giants_vs_Bengaluru Bulls,doordie_tackle_fail_Gujarat Giants_vs_Bengaluru Bulls,13
doordie_tackle_fail_Patna Pirates_vs_Bengaluru Bulls,doordie_tackle_fail_Patna Pirates_vs_Bengaluru Bulls,13
doordie_tackle_fail_Tamil Thalaivas_vs_Bengaluru Bulls,doordie_tackle_fail_Tamil Thalaivas_vs_Bengaluru Bulls,8
doordie_tackle_fail_Telugu Titans_vs_Bengaluru Bulls,doordie_tackle_fail_Telugu Titans_vs_Bengaluru Bulls,8
doordie_tackle_fail_Haryana Steelers_vs_Bengaluru Bulls,doordie_tackle_fail_Haryana Steelers_vs_Bengaluru Bulls,8
doordie_tackle_fail_Jaipur Pink Panthers_vs_Bengaluru Bulls,doordie_tackle_fail_Jaipur Pink Panthers_vs_Bengaluru Bulls,6
doordie_tackle_fail_Dabang Delhi_vs_Dabang Delhi K.C.,doordie_tackle_fail_Dabang Delhi_vs_Dabang Delhi K.C.,5
regular_tackle_fail_nan_vs_UP Yoddhas,regular_tackle_fail_nan_vs_UP Yoddhas,5
