From_Token,To_Token,Support
doordie_tackle_fail_Tamil Thalaivas_vs_Patna Pirates,doordie_tackle_fail_Tamil Thalaivas_vs_Patna Pirates,10
doordie_tackle_fail_Bengal Warriors_vs_Patna Pirates,doordie_tackle_fail_Bengal Warriors_vs_Patna Pirates,8
doordie_tackle_fail_Telugu Titans_vs_Patna Pirates,doordie_tackle_fail_Telugu Titans_vs_Patna Pirates,7
regular_tackle_fail_nan_vs_Haryana Steelers,regular_tackle_fail_nan_vs_Haryana Steelers,5
