From_Token,To_Token,Support
doordie_tackle_fail_U Mumba_vs_Haryana Steelers,doordie_tackle_fail_U Mumba_vs_Haryana Steelers,9
doordie_tackle_fail_Bengaluru Bulls_vs_Patna Pirates,doordie_tackle_fail_Bengaluru Bulls_vs_Patna Pirates,9
doordie_tackle_fail_Gujarat Giants_vs_Haryana Steelers,doordie_tackle_fail_Gujarat Giants_vs_Haryana Steelers,7
doordie_tackle_fail_Jaipur Pink Panthers_vs_Haryana Steelers,doordie_tackle_fail_Jaipur Pink Panthers_vs_Haryana Steelers,7
doordie_tackle_fail_U Mumba_vs_Patna Pirates,doordie_tackle_fail_U Mumba_vs_Patna Pirates,5
