From_Token,To_Token,Support
doordie_tackle_fail_Bengal Warriors_vs_U Mumba,doordie_tackle_fail_Bengal Warriors_vs_U Mumba,5
doordie_tackle_fail_U.P. Yoddha_vs_U Mumba,doordie_tackle_fail_U.P. Yoddha_vs_U Mumba,5
