From_Token,To_Token,Support
regular_tackle_fail_nan_vs_Tamil Thalaivas,regular_tackle_fail_nan_vs_Tamil Thalaivas,5
regular_tackle_fail_nan_vs_Gujarat Giants,regular_tackle_fail_nan_vs_Gujarat Giants,5
