From_Token,To_Token,Support
doordie_tackle_fail_U Mumba_vs_Tamil Thalaivas,doordie_tackle_fail_U Mumba_vs_Tamil Thalaivas,7
doordie_tackle_fail_Puneri Paltan_vs_Tamil Thalaivas,doordie_tackle_fail_Puneri Paltan_vs_Tamil Thalaivas,5
