From_Token,To_Token,Support
regular_tackle_fail_nan_vs_U Mumba,regular_tackle_fail_nan_vs_U Mumba,9
doordie_tackle_fail_Bengal Warriors_vs_Puneri Paltan,doordie_tackle_fail_Bengal Warriors_vs_Puneri Paltan,7
regular_tackle_fail_nan_vs_Tamil Thalaivas,regular_tackle_fail_nan_vs_Tamil Thalaivas,7
doordie_tackle_fail_Dabang Delhi_vs_Puneri Paltan,doordie_tackle_fail_Dabang Delhi_vs_Puneri Paltan,5
doordie_tackle_fail_Haryana Steelers_vs_Puneri Paltan,doordie_tackle_fail_Haryana Steelers_vs_Puneri Paltan,5
