From_Token,To_Token,Support
doordie_tackle_fail_Patna Pirates_vs_Haryana Steelers,doordie_tackle_fail_Patna Pirates_vs_Haryana Steelers,11
doordie_tackle_fail_Bengal Warriors_vs_Haryana Steelers,doordie_tackle_fail_Bengal Warriors_vs_Haryana Steelers,8
doordie_tackle_fail_U.P. Yoddha_vs_Haryana Steelers,doordie_tackle_fail_U.P. Yoddha_vs_Haryana Steelers,6
doordie_tackle_fail_Telugu Titans_vs_Haryana Steelers,doordie_tackle_fail_Telugu Titans_vs_Haryana Steelers,5
doordie_tackle_fail_Bengaluru Bulls_vs_Haryana Steelers,doordie_tackle_fail_Bengaluru Bulls_vs_Haryana Steelers,5
doordie_tackle_fail_Gujarat Giants_vs_Haryana Steelers,doordie_tackle_fail_Gujarat Giants_vs_Haryana Steelers,5
