From_Token,To_Token,Support
doordie_tackle_fail_Bengaluru Bulls_vs_U.P. Yoddha,doordie_tackle_fail_Bengaluru Bulls_vs_U.P. Yoddha,11
doordie_tackle_fail_U Mumba_vs_U.P. Yoddha,doordie_tackle_fail_U Mumba_vs_U.P. Yoddha,11
doordie_tackle_fail_Gujarat Giants_vs_U.P. Yoddha,doordie_tackle_fail_Gujarat Giants_vs_U.P. Yoddha,6
doordie_tackle_fail_Puneri Paltan_vs_U.P. Yoddha,doordie_tackle_fail_Puneri Paltan_vs_U.P. Yoddha,6
doordie_tackle_fail_Bengal Warriors_vs_U.P. Yoddha,doordie_tackle_fail_Bengal Warriors_vs_U.P. Yoddha,6
doordie_tackle_fail_Patna Pirates_vs_U.P. Yoddha,doordie_tackle_fail_Patna Pirates_vs_U.P. Yoddha,6
doordie_tackle_fail_Tamil Thalaivas_vs_U.P. Yoddha,doordie_tackle_fail_Tamil Thalaivas_vs_U.P. Yoddha,5
doordie_tackle_fail_Telugu Titans_vs_U.P. Yoddhas,doordie_tackle_fail_Telugu Titans_vs_U.P. Yoddhas,5
regular_tackle_fail_nan_vs_U Mumba,regular_tackle_fail_nan_vs_U Mumba,5
