From_Token,To_Token,Support
doordie_tackle_fail_U.P. Yoddha_vs_U Mumba,doordie_tackle_fail_U.P. Yoddha_vs_U Mumba,8
doordie_tackle_fail_Haryana Steelers_vs_U Mumba,doordie_tackle_fail_Haryana Steelers_vs_U Mumba,6
