From_Token,To_Token,Support
doordie_tackle_fail_Tamil Thalaivas_vs_Gujarat Giants,doordie_tackle_fail_Tamil Thalaivas_vs_Gujarat Giants,7
doordie_tackle_fail_Bengaluru Bulls_vs_Gujarat Giants,doordie_tackle_fail_Bengaluru Bulls_vs_Gujarat Giants,6
doordie_tackle_fail_U Mumba_vs_Gujarat Giants,doordie_tackle_fail_U Mumba_vs_Gujarat Giants,6
doordie_tackle_fail_Patna Pirates_vs_Gujarat Giants,doordie_tackle_fail_Patna Pirates_vs_Gujarat Giants,6
doordie_tackle_fail_Telugu Titans_vs_Gujarat Fortunegiants,doordie_tackle_fail_Telugu Titans_vs_Gujarat Fortunegiants,6
doordie_tackle_fail_Haryana Steelers_vs_Gujarat Giants,doordie_tackle_fail_Haryana Steelers_vs_Gujarat Giants,5
doordie_tackle_fail_Bengal Warriors_vs_Gujarat Giants,doordie_tackle_fail_Bengal Warriors_vs_Gujarat Giants,5
doordie_tackle_fail_U.P. Yoddha_vs_Gujarat Fortunegiants,doordie_tackle_fail_U.P. Yoddha_vs_Gujarat Fortunegiants,5
