From_Token,To_Token,Support
doordie_tackle_fail_Bengaluru Bulls_vs_Jaipur Pink Panthers,doordie_tackle_fail_Bengaluru Bulls_vs_Jaipur Pink Panthers,8
doordie_tackle_fail_Gujarat Giants_vs_Jaipur Pink Panthers,doordie_tackle_fail_Gujarat Giants_vs_Jaipur Pink Panthers,6
doordie_tackle_fail_Patna Pirates_vs_Jaipur Pink Panthers,doordie_tackle_fail_Patna Pirates_vs_Jaipur Pink Panthers,5
