From_Token,To_Token,Support
doordie_tackle_fail_Telugu Titans_vs_Tamil Thalaivas,doordie_tackle_fail_Telugu Titans_vs_Tamil Thalaivas,10
doordie_tackle_fail_U.P. Yoddha_vs_Tamil Thalaivas,doordie_tackle_fail_U.P. Yoddha_vs_Tamil Thalaivas,5
doordie_tackle_fail_Bengaluru Bulls_vs_Tamil Thalaivas,doordie_tackle_fail_Bengaluru Bulls_vs_Tamil Thalaivas,5
