From_Token,To_Token,Support
doordie_tackle_fail_Gujarat Giants_vs_Puneri Paltan,doordie_tackle_fail_Gujarat Giants_vs_Puneri Paltan,9
doordie_tackle_fail_Haryana Steelers_vs_Puneri Paltan,doordie_tackle_fail_Haryana Steelers_vs_Puneri Paltan,8
doordie_tackle_fail_U.P. Yoddha_vs_Gujarat Giants,doordie_tackle_fail_U.P. Yoddha_vs_Gujarat Giants,7
doordie_tackle_fail_Jaipur Pink Panthers_vs_Gujarat Giants,doordie_tackle_fail_Jaipur Pink Panthers_vs_Gujarat Giants,6
doordie_tackle_fail_Haryana Steelers_vs_Bengal Warriors,doordie_tackle_fail_Haryana Steelers_vs_Bengal Warriors,6
doordie_tackle_fail_Jaipur Pink Panthers_vs_Puneri Paltan,doordie_tackle_fail_Jaipur Pink Panthers_vs_Puneri Paltan,5
