From_Token,To_Token,Support
doordie_tackle_fail_Patna Pirates_vs_Tamil Thalaivas,doordie_tackle_fail_Patna Pirates_vs_Tamil Thalaivas,6
doordie_tackle_fail_Telugu Titans_vs_Tamil Thalaivas,doordie_tackle_fail_Telugu Titans_vs_Tamil Thalaivas,6
doordie_tackle_fail_Bengaluru Bulls_vs_Tamil Thalaivas,doordie_tackle_fail_Bengaluru Bulls_vs_Tamil Thalaivas,6
doordie_tackle_fail_Jaipur Pink Panthers_vs_Tamil Thalaivas,doordie_tackle_fail_Jaipur Pink Panthers_vs_Tamil Thalaivas,5
doordie_tackle_fail_Gujarat Giants_vs_Tamil Thalaivas,doordie_tackle_fail_Gujarat Giants_vs_Tamil Thalaivas,5
