From_Token,To_Token,Support
doordie_tackle_fail_Puneri Paltan_vs_Patna Pirates,doordie_tackle_fail_Puneri Paltan_vs_Patna Pirates,8
doordie_tackle_fail_U Mumba_vs_Patna Pirates,doordie_tackle_fail_U Mumba_vs_Patna Pirates,7
doordie_tackle_fail_Tamil Thalaivas_vs_Patna Pirates,doordie_tackle_fail_Tamil Thalaivas_vs_Patna Pirates,6
doordie_tackle_fail_Bengaluru Bulls_vs_Patna Pirates,doordie_tackle_fail_Bengaluru Bulls_vs_Patna Pirates,6
doordie_tackle_fail_U.P. Yoddha_vs_Patna Pirates,doordie_tackle_fail_U.P. Yoddha_vs_Patna Pirates,6
