From_Token,To_Token,Support
doordie_tackle_fail_Patna Pirates_vs_Telugu Titans,doordie_tackle_fail_Patna Pirates_vs_Telugu Titans,17
doordie_tackle_fail_Bengaluru Bulls_vs_Telugu Titans,doordie_tackle_fail_Bengaluru Bulls_vs_Telugu Titans,10
doordie_tackle_fail_Tamil Thalaivas_vs_Telugu Titans,doordie_tackle_fail_Tamil Thalaivas_vs_Telugu Titans,8
doordie_tackle_fail_Jaipur Pink Panthers_vs_Telugu Titans,doordie_tackle_fail_Jaipur Pink Panthers_vs_Telugu Titans,6
doordie_tackle_fail_Haryana Steelers_vs_Telugu Titans,doordie_tackle_fail_Haryana Steelers_vs_Telugu Titans,5
