From_Token,To_Token,Support
doordie_tackle_fail_U.P. Yoddha_vs_Tamil Thalaivas,doordie_tackle_fail_U.P. Yoddha_vs_Tamil Thalaivas,5
doordie_tackle_fail_Puneri Paltan_vs_Tamil Thalaivas,doordie_tackle_fail_Puneri Paltan_vs_Tamil Thalaivas,5
