From_Token,To_Token,Support
doordie_tackle_fail_Tamil Thalaivas_vs_Haryana Steelers,doordie_tackle_fail_Tamil Thalaivas_vs_Haryana Steelers,5
doordie_tackle_fail_Bengaluru Bulls_vs_Haryana Steelers,doordie_tackle_fail_Bengaluru Bulls_vs_Haryana Steelers,5
