From_Token,To_Token,Support
doordie_tackle_fail_Telugu Titans_vs_Bengaluru Bulls,doordie_tackle_fail_Telugu Titans_vs_Bengaluru Bulls,11
doordie_tackle_fail_U.P. Yoddha_vs_Bengaluru Bulls,doordie_tackle_fail_U.P. Yoddha_vs_Bengaluru Bulls,6
doordie_tackle_fail_Tamil Thalaivas_vs_Bengaluru Bulls,doordie_tackle_fail_Tamil Thalaivas_vs_Bengaluru Bulls,6
