From_Token,To_Token,Support
doordie_tackle_fail_Gujarat Giants_vs_U.P. Yoddha,doordie_tackle_fail_Gujarat Giants_vs_U.P. Yoddha,6
doordie_tackle_fail_U Mumba_vs_Bengal Warriors,doordie_tackle_fail_U Mumba_vs_Bengal Warriors,5
