From_Token,To_Token,Support
doordie_tackle_fail_U.P. Yoddha_vs_Bengal Warriors,doordie_tackle_fail_U.P. Yoddha_vs_Bengal Warriors,9
doordie_tackle_fail_U Mumba_vs_Bengal Warriors,doordie_tackle_fail_U Mumba_vs_Bengal Warriors,5
