From_Token,To_Token,Support
doordie_tackle_fail_Tamil Thalaivas_vs_Bengal Warriors,doordie_tackle_fail_Tamil Thalaivas_vs_Bengal Warriors,5
doordie_tackle_fail_Puneri Paltan_vs_Bengal Warriors,doordie_tackle_fail_Puneri Paltan_vs_Bengal Warriors,5
