From_Token,To_Token,Support
doordie_tackle_fail_Bengal Warriors_vs_U Mumba,doordie_tackle_fail_Bengal Warriors_vs_U Mumba,7
doordie_tackle_fail_Patna Pirates_vs_U Mumba,doordie_tackle_fail_Patna Pirates_vs_U Mumba,6
doordie_tackle_fail_Haryana Steelers_vs_U Mumba,doordie_tackle_fail_Haryana Steelers_vs_U Mumba,5
