player_name,team_name,season,position_name,raid_points_player,tackle_points_player,total_points,raid_points_contribution,tackle_points_contribution,total_points_contribution,do_or_die_points_contribution,successful_raids_contribution,successful_tackles_contribution,super_raids_contribution,super_tackles_contribution
Ajay Thakur,Bengaluru Bulls,1,Raider,122.0,0.33,127.0,0.41924398481359454,0.002024539864880124,0.2550200798091966,0.19999999500000012,0.4266666647703704,0.032679738348498445,0.285714244897965,0.0
Deepak Kumar Dahiya,Bengaluru Bulls,1,Raider,19.0,0.29,21.0,0.06529209599555981,0.0017791410933795024,0.04216867461411913,0.22499999437500015,0.06666666637037037,0.013071895339399377,0.0,0.0
Dharmaraj Cheralathan,Bengaluru Bulls,1,"Defender, right and left corner",13.0,2.44,52.0,0.04467353936538303,0.014969325061537883,0.10441767047305689,0.07499999812500005,0.035555555397530865,0.2222222207697894,0.0,0.499999950000005
Gurchet Singh,Bengaluru Bulls,1,,1.0,0.75,4.0,0.0034364261050294637,0.004601226965636644,0.008032128497927452,0.0,0.004444444424691358,0.019607843009099065,0.0,0.0
Gurpreet Singh,Bengaluru Bulls,1,"Defender, right corner",2.0,1.56,27.0,0.006872852210058927,0.00957055208852422,0.05421686736101031,0.024999999375000016,0.004444444424691358,0.15686274407279252,0.0,0.09999999000000101
Manjeet Chhillar,Bengaluru Bulls,1,All Rounder,71.0,3.19,122.0,0.2439862534570919,0.019570552027174528,0.2449799191867873,0.17499999562500013,0.235555554508642,0.3333333311546841,0.285714244897965,0.0
Parmod Narwal,Bengaluru Bulls,1,All Rounder,13.0,1.44,36.0,0.04467353936538303,0.008834355774022357,0.07228915648134708,0.024999999375000016,0.04444444424691358,0.13071895339399378,0.0,0.299999970000003
Preetam Chhillar,Bengaluru Bulls,1,All Rounder,5.0,0.64,12.0,0.01718213052514732,0.003926380344009937,0.02409638549378236,0.0,0.013333333274074075,0.04575163368789782,0.0,0.0
Rajesh Mondal,Bengaluru Bulls,1,Raider,39.0,0.33,44.0,0.13402061809614907,0.002024539864880124,0.08835341347720198,0.2749999931250002,0.14222222159012346,0.026143790678798753,0.285714244897965,0.09999999000000101
Sinotharan Kanesharajah,Bengaluru Bulls,1,Raider,4.0,0.0,5.0,0.013745704420117855,0.0,0.010040160622409316,0.0,0.008888888849382716,0.006535947669699688,0.1428571224489825,0.0
Sunil Hanumanthappa,Bengaluru Bulls,1,Raider,2.0,0.0,4.0,0.006872852210058927,0.0,0.008032128497927452,0.0,0.004444444424691358,0.013071895339399377,0.0,0.0
Amit Singh Chhillar,Dabang Delhi K.C.,1,"Defender, left corner",1.0,2.07,30.0,0.003508771917513081,0.01544776107874805,0.06578947353993536,0.0,0.0040650406338819485,0.2096774176638918,0.0,0.299999970000003
Dadaso Balaso Awad,Dabang Delhi K.C.,1,All Rounder,0.0,1.0,5.0,0.0,0.007462686511472489,0.010964912256655895,0.0,0.0,0.032258064255983356,0.0,0.09999999000000101
Ehsan Zamani Fard,Dabang Delhi K.C.,1,"Defender, left corner",4.0,0.25,6.0,0.014035087670052324,0.0018656716278681222,0.013157894707987073,0.0,0.012195121901645846,0.016129032127991678,0.0,0.0
Punit Kumar Teotia,Dabang Delhi K.C.,1,Raider,3.0,0.5,5.0,0.010526315752539242,0.0037313432557362445,0.010964912256655895,0.0,0.008130081267763897,0.016129032127991678,0.0,0.0
Rakesh Singh Kumar,Dabang Delhi K.C.,1,"Defender, left cover",1.0,0.33,4.0,0.003508771917513081,0.0024626865487859216,0.008771929805324716,0.0,0.0040650406338819485,0.024193548191987515,0.0,0.0
Ravinder Pahal,Dabang Delhi K.C.,1,"Defender, right corner",0.0,3.22,29.0,0.0,0.024029850566941416,0.06359649108860418,0.0,0.0,0.23387096585587933,0.0,0.0
Shrikant Tewthia,Dabang Delhi K.C.,1,All Rounder,41.0,0.64,50.0,0.14385964861803632,0.004776119367342393,0.10964912256655894,0.09677419042663901,0.1504065034536321,0.06451612851196671,0.0,0.09999999000000101
Surjeet Narwal,Dabang Delhi K.C.,1,Raider,113.0,0.5,120.0,0.3964912266789782,0.0037313432557362445,0.26315789415974145,0.2580645078043707,0.39837398212043096,0.04032258031997919,0.399999920000016,0.19999998000000202
Takamitsu Kono,Dabang Delhi K.C.,1,All Rounder,1.0,0.0,2.0,0.003508771917513081,0.0,0.004385964902662358,0.0,0.0040650406338819485,0.008064516063995839,0.0,0.0
Atif Waheed,Telugu Titans,1,All Rounder,0.0,0.33,1.0,0.0,0.0031730768925665688,0.0020120724305592104,0.0,0.0,0.010416666558159723,0.0,0.0
Chandran Ranjit,Telugu Titans,1,Raider,6.0,0.0,6.0,0.017857142803996598,0.0,0.012072434583355262,0.0,0.014705882298875433,0.0,0.0,0.0
D. Gopu,Telugu Titans,1,"Defender, right and left corner",4.0,1.53,27.0,0.011904761869331065,0.014711538320081362,0.05432595562509868,0.0,0.014705882298875433,0.20833333116319447,0.0,0.3749999531250059
Deepak Niwas Hooda,Telugu Titans,1,All Rounder,87.0,0.14,89.0,0.25892857065795066,0.0013461538332100594,0.17907444631976974,0.2580645078043707,0.2647058813797578,0.020833333116319446,0.3749999531250059,0.0
Kiran A,Telugu Titans,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prashanth Kumar Rai,Telugu Titans,1,Raider,5.0,0.0,5.0,0.014880952336663832,0.0,0.010060362152796052,0.0,0.018382352873594292,0.0,0.0,0.0
Rahul Chaudhari,Telugu Titans,1,Raider,151.0,0.71,161.0,0.44940476056724776,0.006826923011279586,0.3239436613200329,0.2580645078043707,0.4485294101157007,0.09374999902343752,0.24999996875000394,0.12499998437500197
Rajaguru Subramanian,Telugu Titans,1,"Defender, right cover",0.0,1.36,19.0,0.0,0.013076922951183434,0.038229376180625,0.0,0.0,0.18749999804687503,0.0,0.12499998437500197
Rupesh Tomar,Telugu Titans,1,All Rounder,1.0,0.8,5.0,0.0029761904673327663,0.007692307618343197,0.010060362152796052,0.0,0.0036764705747188583,0.03124999967447917,0.0,0.12499998437500197
Sachin Shingade,Telugu Titans,1,"Defender, left cover",0.0,2.0,20.0,0.0,0.01923076904585799,0.040241448611184207,0.0,0.0,0.19791666460503474,0.0,0.12499998437500197
Sukesh Hegde,Telugu Titans,1,Raider,79.0,0.29,83.0,0.23511904691928856,0.0027884615116494085,0.16700201173641446,0.4838709521331951,0.2205882344831315,0.04166666623263889,0.3749999531250059,0.0
Vijendar Singh,Telugu Titans,1,,0.0,2.5,20.0,0.0,0.024038461307322487,0.040241448611184207,0.0,0.0,0.19791666460503474,0.0,0.12499998437500197
Wajid Ali,Telugu Titans,1,All Rounder,4.0,0.25,5.0,0.011904761869331065,0.0024038461307322487,0.010060362152796052,0.0,0.011029411724156574,0.010416666558159723,0.0,0.0
Balbir Singh,Jaipur Pink Panthers,1,All Rounder,9.0,0.0,9.0,0.026162790621619796,0.0,0.015544041423930843,0.03999999920000002,0.025925925829903978,0.0,0.0,0.0
Gangadhari Mallesh,Jaipur Pink Panthers,1,Raider,13.0,0.3,16.0,0.03779069756456192,0.0017647058719723184,0.0276338514203215,0.01999999960000001,0.037037036899862825,0.01898734165197885,0.0,0.0
Gokul Shitole,Jaipur Pink Panthers,1,"Defender, right corner",0.0,0.67,2.0,0.0,0.003941176447404844,0.0034542314275401876,0.0,0.0,0.0126582277679859,0.0,0.0
Jasvir Singh,Jaipur Pink Panthers,1,Raider,106.0,0.47,113.0,0.30813953398796645,0.0027647058660899655,0.1951640756560206,0.17999999640000008,0.3074074062688615,0.0379746833039577,0.22222219753086697,0.08333332638888948
Maninder Singh,Jaipur Pink Panthers,1,Raider,130.0,0.44,137.0,0.37790697564561926,0.002588235278892734,0.23661485278650285,0.4399999912000002,0.3814814800685871,0.0379746833039577,0.33333329629630043,0.08333332638888948
Navneet Gautam,Jaipur Pink Panthers,1,"Defender, left corner",0.0,1.21,17.0,0.0,0.007117647016955018,0.029360967134091594,0.0,0.0,0.1012658221438872,0.0,0.08333332638888948
Prashant Chavan,Jaipur Pink Panthers,1,"Defender, right corner",1.0,2.13,33.0,0.0029069767357355327,0.01252941169100346,0.056994818554413094,0.0,0.0037037036899862825,0.17721518875180262,0.0,0.3333333055555579
Rajesh Narwal,Jaipur Pink Panthers,1,All Rounder,72.0,1.63,98.0,0.20930232497295836,0.009588235237716262,0.16925733994946918,0.2799999944000001,0.21851851770919067,0.15822784709982377,0.33333329629630043,0.08333332638888948
Ran Singh,Jaipur Pink Panthers,1,All Rounder,11.0,2.5,36.0,0.03197674409309086,0.014705882266435986,0.06217616569572337,0.03999999920000002,0.018518518449931413,0.14556961933183785,0.11111109876543349,0.16666665277777895
