player_name,team_name,season,position_name,raid_points_player,tackle_points_player,total_points,raid_points_contribution,tackle_points_contribution,total_points_contribution,do_or_die_points_contribution,successful_raids_contribution,successful_tackles_contribution,super_raids_contribution,super_tackles_contribution
Rohit Rana,Jaipur Pink Panthers,1,"Defender, left cover",0.0,2.53,38.0,0.0,0.014882352853633218,0.06563039712326356,0.0,0.0,0.23417721370773917,0.0,0.08333332638888948
Samarjeet Singh,Jaipur Pink Panthers,1,All Rounder,1.0,0.92,12.0,0.0029069767357355327,0.005411764674048443,0.020725388565241126,0.0,0.0,0.0632911388399295,0.0,0.08333332638888948
Bajirao Hodage,Bengal Warriors,1,"Defender, right cover",0.0,1.83,11.0,0.0,0.014999999877049182,0.025581395289345592,0.0,0.0,0.0849056595763617,0.0,0.12499999218750048
Farhad Kamal Gharibi,Bengal Warriors,1,"Defender, left corner",0.0,0.0,2.0,0.0,0.0,0.004651162779881017,0.0,0.0,0.0094339621751513,0.0,0.06249999609375024
Jang Kun Lee,Bengal Warriors,1,Raider,55.0,0.18,57.0,0.19434628906591417,0.0014754098239720505,0.13255813922660897,0.33333332222222256,0.183098590689678,0.0188679243503026,0.4545454132231443,0.0
Mahendra Ganesh Rajput,Bengal Warriors,1,Raider,21.0,0.0,21.0,0.07420494673425813,0.0,0.048837209188750674,0.06666666444444451,0.07981220619806476,0.0,0.0,0.0
Mahesh Goud,Bengal Warriors,1,Raider,51.0,0.62,59.0,0.18021201349748406,0.005081967171459286,0.13720930200649,0.16666666111111128,0.18779342634838767,0.0754716974012104,0.09090908264462885,0.0
Nilesh Shinde,Bengal Warriors,1,"Defender, right corner",7.0,2.0,35.0,0.024734982244752714,0.016393442488578342,0.0813953486479178,0.0,0.023474178293548458,0.2358490543787825,0.0,0.18749998828125072
Nitin Madane,Bengal Warriors,1,Raider,101.0,0.5,107.0,0.3568904581028606,0.0040983606221445855,0.2488372087236344,0.26666665777777804,0.366197181379356,0.0377358487006052,0.2727272479338866,0.12499999218750048
Parveen Kumar,Bengal Warriors,1,"Defender, right cover",0.0,0.38,3.0,0.0,0.003114754072829885,0.006976744169821525,0.0,0.0,0.0188679243503026,0.0,0.06249999609375024
Sachin Khambe,Bengal Warriors,1,"Defender, left corner",5.0,1.57,27.0,0.01766784446053765,0.012868852353533997,0.06279069752839372,0.033333332222222255,0.023474178293548458,0.188679243503026,0.0,0.12499999218750048
Seong Ryeol Kim,Bengal Warriors,1,Defender,0.0,1.67,5.0,0.0,0.013688524477962915,0.011627906949702543,0.0,0.0,0.0471698108757565,0.0,0.0
Shyam Kumar Sah,Bengal Warriors,1,"Defender, left cover",10.0,1.38,28.0,0.0353356889210753,0.011311475317119055,0.06511627891833424,0.033333332222222255,0.03286384961096784,0.1603773569775721,0.0,0.06249999609375024
Sunil Jaipal,Bengal Warriors,1,Raider,33.0,1.31,50.0,0.1166077734395485,0.010737704830018813,0.11627906949702542,0.09999999666666677,0.10328638449161322,0.1226415082769669,0.1818181652892577,0.24999998437500096
Anup Kumar,U Mumba,1,Raider,155.0,0.88,169.0,0.44668587767525686,0.005605095505700029,0.3072727267140496,0.3249999918750002,0.45555555386831276,0.08275862011890607,0.6666666111111158,0.16666665277777895
Jeeva Gopal,U Mumba,1,"Defender, left cover",0.0,0.55,6.0,0.0,0.0035031846910625183,0.010909090889256198,0.0,0.0,0.041379310059453035,0.0,0.0
Jeeva Kumar,U Mumba,1,"Defender, right and left cover",0.0,1.78,16.0,0.0,0.011337579545620513,0.02909090903801653,0.0,0.0,0.11034482682520809,0.0,0.0
Md. Aruduzzaman Munshi,U Mumba,1,Raider,2.0,0.0,2.0,0.0057636887441968624,0.0,0.003636363629752066,0.0,0.007407407379972565,0.0,0.0,0.0
Mohit Chhillar,U Mumba,1,"Defender, right corner",1.0,2.19,36.0,0.0028818443720984312,0.013949044497139844,0.06545454533553718,0.0,0.0037037036899862825,0.20689655029726517,0.0,0.41666663194444736
Pawan Kumar Kadian,U Mumba,1,Raider,43.0,0.1,44.0,0.12391930800023254,0.000636942671102276,0.07999999985454545,0.1499999962500001,0.11851851807956104,0.006896551676575506,0.0,0.0
Rishank Devadiga,U Mumba,1,Raider,64.0,0.81,77.0,0.1844380398142996,0.005159235635928436,0.13999999974545455,0.19999999500000012,0.1666666660493827,0.08965517179548158,0.16666665277777895,0.0
Shabeer Bappu,U Mumba,1,Raider,66.0,0.1,67.0,0.19020172855849646,0.000636942671102276,0.12181818159669422,0.2749999931250002,0.1888888881893004,0.006896551676575506,0.16666665277777895,0.0
Surender Nada,U Mumba,1,"Defender, left corner",10.0,3.4,61.0,0.028818443720984313,0.021656050817477384,0.11090909070743801,0.024999999375000016,0.02962962951989026,0.3241379287990488,0.0,0.3333333055555579
Suresu Kumar,U Mumba,1,Raider,6.0,0.0,6.0,0.017291066232590586,0.0,0.010909090889256198,0.024999999375000016,0.022222222139917695,0.0,0.0,0.0
Vishal Mane,U Mumba,1,"Defender, right cover",0.0,1.25,20.0,0.0,0.00796178338877845,0.03636363629752066,0.0,0.0,0.1310344818549346,0.0,0.08333332638888948
D. Suresh Kumar,Patna Pirates,1,"Defender, right cover",0.0,2.33,28.0,0.0,0.016408450588672883,0.05555555544532628,0.0,0.0,0.19354838553590012,0.0,0.2222222098765439
Dovlet Boshimov,Patna Pirates,1,Raider,4.0,0.0,4.0,0.012658227808043583,0.0,0.007936507920760897,0.0238095232426304,0.011857707463013014,0.0,0.0,0.0
Girish Maruti Ernak,Patna Pirates,1,"Defender, left corner",2.0,1.92,25.0,0.006329113904021791,0.013521126665344179,0.049603174504755605,0.0,0.007905138308675343,0.17741935340790843,0.0,0.055555552469135974
Mandeep Kumar,Patna Pirates,1,Raider,5.0,0.0,5.0,0.015822784760054477,0.0,0.009920634900951122,0.0,0.007905138308675343,0.0,0.07692307100591762,0.0
Rakesh Kumar,Patna Pirates,1,All Rounder,88.0,0.92,99.0,0.27848101177695883,0.006478873193810753,0.1964285710388322,0.1428571394557824,0.300395255729663,0.08870967670395422,0.0,0.0
Ram Kumar Sah,Patna Pirates,1,"Defender, left cover",3.0,1.67,18.0,0.009493670856032687,0.011760563297460822,0.035714285643424035,0.0,0.011857707463013014,0.11290322489594173,0.0,0.055555552469135974
Ravi Dalal,Patna Pirates,1,Raider,111.0,0.0,111.0,0.3512658216732094,0.0,0.2202380948011149,0.476190464852608,0.3438735164273774,0.0,0.3076922840236705,0.0
Sandeep Narwal,Patna Pirates,1,All Rounder,92.0,1.69,119.0,0.29113923958500243,0.01190140836689149,0.23611111064263668,0.2619047556689344,0.26877470249496166,0.1693548373439126,0.615384568047341,0.3333333148148158
Somvir Shekhar,Patna Pirates,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tae Deok Eom,Patna Pirates,1,All Rounder,2.0,0.22,4.0,0.006329113904021791,0.0015492957637373538,0.007936507920760897,0.0238095232426304,0.0039525691543376715,0.008064516063995839,0.0,0.055555552469135974
Wasim Sajjad,Patna Pirates,1,"Defender, right corner",0.0,1.8,27.0,0.0,0.012676056248760168,0.05357142846513605,0.0,0.0,0.19354838553590012,0.0,0.1666666574074079
Jitesh Joshi,Puneri Paltan,1,All Rounder,40.0,0.93,53.0,0.14869888420558036,0.008691588703816928,0.13086419720774273,0.20833332899305565,0.1519607835688197,0.1182795686206498,0.0,0.14285713265306196
Kalimuthu Balamahendran,Puneri Paltan,1,"Defender, left corner",12.0,1.43,32.0,0.044609665261674106,0.013364485856406674,0.07901234548392014,0.0,0.03921568608227605,0.15053763278991794,0.09090908264462885,0.42857139795918586
Mahipal Narwal,Puneri Paltan,1,All Rounder,24.0,1.4,31.0,0.08921933052334821,0.013084112027251288,0.07654320968754763,0.10416666449652782,0.0784313721645521,0.07526881639495897,0.1818181652892577,0.0
Mangesh Bhagat,Puneri Paltan,1,Raider,27.0,0.13,28.0,0.10037174683876673,0.001214953259673334,0.06913580229843012,0.1249999973958334,0.09313725444540562,0.01075268805642271,0.0,0.0
Manoj Kumar,Puneri Paltan,1,"Defender, left cover",22.0,1.43,42.0,0.0817843863130692,0.013364485856406674,0.10370370344764518,0.0,0.06862745064398308,0.18279569695918607,0.1818181652892577,0.21428569897959293
Nitin More,Puneri Paltan,1,"Defender, left cover",0.0,1.33,12.0,0.0,0.012429906425888726,0.02962962955647005,0.0,0.0,0.12903225667707252,0.0,0.0
Pravin Niwale,Puneri Paltan,1,Raider,20.0,0.14,21.0,0.07434944210279018,0.001308411202725129,0.05185185172382259,0.10416666449652782,0.05882352912341408,0.01075268805642271,0.2727272479338866,0.0
Sagar Khatale,Puneri Paltan,1,"Defender, right corner",0.0,1.25,10.0,0.0,0.011682242881474366,0.02469135796372504,0.0,0.0,0.10752688056422709,0.0,0.0
Simon Kibura,Puneri Paltan,1,Raider,6.0,0.5,8.0,0.022304832630837053,0.004672897152589746,0.019753086370980034,0.020833332899305567,0.02450980380142253,0.02150537611284542,0.0,0.0
Sunil Subhash Lande,Puneri Paltan,1,"Defender, right corner",0.0,0.25,1.0,0.0,0.002336448576294873,0.0024691357963725043,0.0,0.0,0.01075268805642271,0.0,0.0
Swapnil Dilip Shinde,Puneri Paltan,1,"Defender, right cover",0.0,1.0,8.0,0.0,0.009345794305179492,0.019753086370980034,0.0,0.0,0.08602150445138168,0.0,0.0
Vikas Tomar,Puneri Paltan,1,"Defender, right corner",0.0,0.63,5.0,0.0,0.0058878504122630805,0.01234567898186252,0.0,0.0,0.04301075222569084,0.0,0.07142856632653098
Waleed Al Hasani,Puneri Paltan,1,Raider,14.0,0.0,14.0,0.05204460947195313,0.0,0.03456790114921506,0.020833332899305567,0.04901960760284506,0.0,0.09090908264462885,0.0
Wazir Singh,Puneri Paltan,1,Raider,104.0,0.58,111.0,0.3866170989345089,0.005420560697004105,0.27407407339734796,0.4166666579861113,0.416666664624183,0.053763440282113543,0.1818181652892577,0.14285713265306196
Adinath Sakharam Gavali,Bengaluru Bulls,2,"Defender, right and left cover",0.0,1.0,1.0,0.0,0.006097560938429507,0.0019685039331328665,0.0,0.0,0.00632911388399295,0.0,0.0
Ajay Thakur,Bengaluru Bulls,2,Raider,79.0,0.08,80.0,0.3134920622480474,0.0004878048750743605,0.1574803146506293,0.4249999946875001,0.2886597923264959,0.00632911388399295,0.599999940000006,0.0
Ashish Chhokar,Bengaluru Bulls,2,Raider,12.0,0.0,13.0,0.04761904743008315,0.0,0.025590551130727262,0.03749999953125001,0.03608247404081199,0.00632911388399295,0.0,0.0
Ashish Kumar,Bengaluru Bulls,2,"Defender, right cover",2.0,0.6,5.0,0.007936507905013858,0.0036585365630577038,0.009842519665664332,0.012499999843750002,0.010309278297374854,0.0126582277679859,0.0,0.1428571224489825
Deepak Kumar Dahiya,Bengaluru Bulls,2,Raider,6.0,0.0,6.0,0.023809523715041574,0.0,0.011811023598797198,0.04999999937500001,0.015463917446062281,0.0,0.0,0.0
Dharmaraj Cheralathan,Bengaluru Bulls,2,"Defender, right and left corner",19.0,2.8,61.0,0.07539682509763165,0.017073170627602618,0.12007873992110485,0.024999999687500003,0.0773195872303114,0.259493669243711,0.0,0.1428571224489825
Gurpreet Singh,Bengaluru Bulls,2,"Defender, right corner",0.0,0.0,1.0,0.0,0.0,0.0019685039331328665,0.0,0.0,0.00632911388399295,0.0,0.0
Joginder Singh Narwal,Bengaluru Bulls,2,"Defender, left corner",0.0,2.14,30.0,0.0,0.013048780408239145,0.05905511799398599,0.0,0.0,0.1898734165197885,0.0,0.0
Manjeet Chhillar,Bengaluru Bulls,2,All Rounder,67.0,2.5,107.0,0.2658730148179642,0.015243902346073767,0.2106299208452167,0.04999999937500001,0.3092783489212456,0.24683544147572506,0.0,0.1428571224489825
Pardeep Narwal,Bengaluru Bulls,2,Raider,9.0,0.0,9.0,0.03571428557256236,0.0,0.017716535398195798,0.04999999937500001,0.03608247404081199,0.0,0.09999999000000101,0.0
Preetam Chhillar,Bengaluru Bulls,2,All Rounder,2.0,0.67,10.0,0.007936507905013858,0.00408536582874777,0.019685039331328664,0.0,0.010309278297374854,0.0506329110719436,0.0,0.0
Rajesh Mondal,Bengaluru Bulls,2,Raider,33.0,0.07,34.0,0.13095238043272864,0.0004268292656900655,0.06692913372651746,0.22499999718750005,0.13917525701456054,0.00632911388399295,0.09999999000000101,0.0
Rakesh Narwal,Bengaluru Bulls,2,Raider,21.0,0.0,21.0,0.0833333330026455,0.0,0.041338582595790194,0.11249999859375003,0.07216494808162398,0.0,0.19999998000000202,0.0
Sandeep Malik,Bengaluru Bulls,2,"Defender, left corner",0.0,0.0,2.0,0.0,0.0,0.003937007866265733,0.0,0.0,0.00632911388399295,0.0,0.1428571224489825
Sinotharan Kanesharajah,Bengaluru Bulls,2,Raider,1.0,0.0,1.0,0.003968253952506929,0.0,0.0019685039331328665,0.012499999843750002,0.0,0.0,0.0,0.0
Somvir Shekhar,Bengaluru Bulls,2,"Defender, right cover",1.0,2.43,35.0,0.003968253952506929,0.014817073080383701,0.06889763765965032,0.0,0.005154639148687427,0.2025316442877744,0.0,0.285714244897965
Amit Kumar Tomar,Dabang Delhi K.C.,2,Raider,6.0,0.22,8.0,0.027649769457835163,0.001617647046929066,0.020202020151005,0.016393442354205864,0.018867924409635695,0.016393442488578342,0.0,0.0
Amit Singh Chhillar,Dabang Delhi K.C.,2,"Defender, left corner",0.0,2.0,12.0,0.0,0.01470588224480969,0.0303030302265075,0.0,0.0,0.09016393368718087,0.0,0.07142856632653098
Dadaso Balaso Awad,Dabang Delhi K.C.,2,All Rounder,5.0,1.71,17.0,0.02304147454819597,0.012573529319312285,0.042929292820885624,0.03278688470841173,0.02515723254618093,0.08196721244289171,0.0,0.14285713265306196
G.S. Manikandan,Dabang Delhi K.C.,2,"Defender, left cover",0.0,0.77,10.0,0.0,0.0056617646642517306,0.025252525188756248,0.0,0.0,0.07377049119860253,0.0,0.07142856632653098
Inderpal Bishnoi,Dabang Delhi K.C.,2,Raider,1.0,0.0,1.0,0.004608294909639194,0.0,0.002525252518875625,0.0,0.006289308136545232,0.0,0.0,0.0
Jasmer Singh Gulia,Dabang Delhi K.C.,2,All Rounder,0.0,0.67,2.0,0.0,0.004926470552011246,0.00505050503775125,0.0,0.0,0.016393442488578342,0.0,0.0
Kashiling Adake,Dabang Delhi K.C.,2,Raider,114.0,0.21,117.0,0.5253456196988682,0.0015441176357050173,0.2954545447084481,0.3278688470841173,0.5471698078794351,0.02459016373286751,0.49999996428571686,0.0
Rajeev Kumar,Dabang Delhi K.C.,2,"Defender, left corner",0.0,1.33,4.0,0.0,0.009779411692798444,0.0101010100755025,0.0,0.0,0.032786884977156684,0.0,0.0
Rakesh Singh Kumar,Dabang Delhi K.C.,2,"Defender, left cover",0.0,1.46,19.0,0.0,0.010735294038711074,0.047979797858636875,0.0,0.0,0.1393442611529159,0.0,0.14285713265306196
Ravinder Pahal,Dabang Delhi K.C.,2,"Defender, right corner",4.0,4.29,64.0,0.018433179638556774,0.031544117415116785,0.16161616120804,0.0,0.018867924409635695,0.43442622594732605,0.0,0.49999996428571686
Rohit Kumar Choudary,Dabang Delhi K.C.,2,Raider,61.0,0.21,64.0,0.2811059894879908,0.0015441176357050173,0.16161616120804,0.5409835976887934,0.2578616335983545,0.02459016373286751,0.42857139795918586,0.0
Sandeep Tomar,Dabang Delhi K.C.,2,Raider,2.0,0.0,2.0,0.009216589819278387,0.0,0.00505050503775125,0.016393442354205864,0.012578616273090464,0.0,0.0,0.0
Selvamani K,Dabang Delhi K.C.,2,Raider,14.0,0.0,14.0,0.06451612873494872,0.0,0.03535353526425875,0.016393442354205864,0.05660377322890709,0.0,0.07142856632653098,0.0
Shrikant Tewthia,Dabang Delhi K.C.,2,All Rounder,10.0,1.0,19.0,0.04608294909639194,0.007352941122404845,0.047979797858636875,0.049180327062617595,0.05660377322890709,0.06557376995431337,0.0,0.07142856632653098
Chandran Ranjit,Telugu Titans,2,Raider,0.0,0.0,1.0,0.0,0.0,0.0017064846387261354,0.0,0.0,0.00632911388399295,0.0,0.0
D. Gopu,Telugu Titans,2,"Defender, right and left corner",0.0,1.29,9.0,0.0,0.0074999999563953494,0.015358361748535219,0.0,0.0,0.05696202495593655,0.0,0.0
Deepak Niwas Hooda,Telugu Titans,2,All Rounder,60.0,2.4,96.0,0.17441860414413196,0.013953488290968092,0.163822525317709,0.12121211937557395,0.20377358413670346,0.2025316442877744,0.06249999609375024,0.24999998437500096
Hadi Oshtorak,Telugu Titans,2,All Rounder,0.0,1.75,7.0,0.0,0.010174418545497567,0.011945392471082948,0.0,0.0,0.0379746833039577,0.0,0.06249999609375024
Hyunil Park,Telugu Titans,2,All Rounder,2.0,0.0,3.0,0.0058139534714710655,0.0,0.005119453916178406,0.0,0.0037735848914204344,0.00632911388399295,0.0,0.0
Isac Antony,Telugu Titans,2,Raider,10.0,0.57,14.0,0.02906976735735533,0.0033139534691049213,0.023890784942165896,0.015151514921946744,0.03396226402278391,0.0253164555359718,0.0,0.0
Jishnu,Telugu Titans,2,"Defender, right cover",0.0,0.33,1.0,0.0,0.0019186046400081127,0.0017064846387261354,0.0,0.0,0.00632911388399295,0.0,0.0
Meraj Sheykh,Telugu Titans,2,All Rounder,29.0,0.6,38.0,0.08430232533633045,0.003488372072742023,0.06484641627159314,0.03030302984389349,0.06792452804556783,0.05696202495593655,0.18749998828125072,0.0
Prashanth Kumar Rai,Telugu Titans,2,Raider,54.0,0.27,58.0,0.15697674372971876,0.0015697674327339105,0.09897610904611585,0.21212120890725442,0.15849056543965825,0.01898734165197885,0.06249999609375024,0.06249999609375024
Rahul Chaudhari,Telugu Titans,2,Raider,98.0,0.64,107.0,0.28488372010208224,0.0037209302109248244,0.1825938563436965,0.21212120890725442,0.2830188668565326,0.05696202495593655,0.37499997656250145,0.0
Rajaguru Subramanian,Telugu Titans,2,"Defender, right cover",1.0,1.42,18.0,0.0029069767357355327,0.008255813905489453,0.030716723497070438,0.0,0.0,0.09493670825989425,0.0,0.12499999218750048
Ravit Kumar,Telugu Titans,2,Raider,1.0,0.33,2.0,0.0029069767357355327,0.0019186046400081127,0.003412969277452271,0.0,0.0037735848914204344,0.00632911388399295,0.0,0.0
Rohit Baliyan,Telugu Titans,2,Raider,12.0,0.0,12.0,0.034883720828826396,0.0,0.020477815664713624,0.015151514921946744,0.04150943380562478,0.0,0.0,0.0
Rupesh Tomar,Telugu Titans,2,All Rounder,4.0,1.0,10.0,0.011627906942942131,0.005813953454570038,0.017064846387261353,0.0,0.011320754674261304,0.0253164555359718,0.0,0.12499999218750048
Sachin Shingade,Telugu Titans,2,"Defender, left cover",0.0,0.5,2.0,0.0,0.002906976727285019,0.003412969277452271,0.0,0.0,0.0126582277679859,0.0,0.0
Sandeep Kandola,Telugu Titans,2,"Defender, left corner",11.0,3.69,70.0,0.03197674409309086,0.021453488247363442,0.11945392471082948,0.0,0.02641509423994304,0.34810126361961224,0.0,0.24999998437500096
Sukesh Hegde,Telugu Titans,2,Raider,62.0,0.15,64.0,0.18023255761560303,0.0008720930181855057,0.10921501687847267,0.39393938797061534,0.16603773522249912,0.0126582277679859,0.3124999804687512,0.0
