raider,opponent,n_events,success_rate,avg_points_per_raid,doordie_success_count,bonus_success_count,top_patterns
Abhijeet Malik,Jaipur Pink Panthers,81,0.6296296296296297,0.5432098765432098,6,17,"[{""pattern"": ""empty_unknown_nan_vs_Jaipur_Pink_Panthers_none_early_zero > regular_success_nan_vs_Jaipur_Pink_Panthers_none_early_single"", ""support"": 10, ""gain"": 9.0}, {""pattern"": ""bonus_success_nan_vs_Jaipur_Pink_Panthers_unknown_early_zero > empty_unknown_nan_vs_Jaipur_Pink_Panthers_none_early_zero"", ""support"": 9, ""gain"": 8.0}, {""pattern"": ""empty_unknown_nan_vs_Jaipur_Pink_Panthers_none_early_zero > empty_unknown_nan_vs_Jaipur_Pink_Panthers_none_early_zero"", ""support"": 9, ""gain"": 8.0}, {""pattern"": ""regular_success_nan_vs_Jaipur_Pink_Panthers_none_early_single > regular_success_nan_vs_Jaipur_Pink_Panthers_none_early_single"", ""support"": 7, ""gain"": 6.0}, {""pattern"": ""regular_success_nan_vs_Jaipur_Pink_Panthers_none_early_single > empty_unknown_nan_vs_Jaipur_Pink_Panthers_none_early_zero"", ""support"": 5, ""gain"": 4.0}]"
Abhishek Gunge,Puneri Paltan,25,0.72,0.32,1,11,"[{""pattern"": ""regular_success_nan_vs_Puneri_Paltan_none_early_single > bonus_success_nan_vs_Puneri_Paltan_unknown_early_zero"", ""support"": 3, ""gain"": 2.0}, {""pattern"": ""bonus_success_nan_vs_Puneri_Paltan_unknown_early_zero > empty_unknown_nan_vs_Puneri_Paltan_none_early_zero"", ""support"": 3, ""gain"": 2.0}, {""pattern"": ""empty_unknown_nan_vs_Puneri_Paltan_none_early_zero > bonus_success_nan_vs_Puneri_Paltan_unknown_early_zero"", ""support"": 2, ""gain"": 1.0}, {""pattern"": ""bonus_success_nan_vs_Puneri_Paltan_unknown_early_zero > regular_success_nan_vs_Puneri_Paltan_none_early_single"", ""support"": 2, ""gain"": 1.0}, {""pattern"": ""bonus_success_nan_vs_Puneri_Paltan_unknown_early_zero > bonus_success_nan_vs_Puneri_Paltan_right_corner_early_zero"", ""support"": 2, ""gain"": 1.0}]"
Abhishek Singh,Bengal Warriors,94,0.6702127659574468,0.4574468085106383,38,21,"[{""pattern"": ""doordie_success_U_Mumba_vs_Bengal_Warriors_none_early_single > doordie_success_U_Mumba_vs_Bengal_Warriors_none_early_single"", ""support"": 12, ""gain"": 11.0}, {""pattern"": ""doordie_success_U_Mumba_vs_Bengal_Warriors_none_early_single > doordie_unknown_U_Mumba_vs_Bengal_Warriors_none_early_zero"", ""support"": 9, ""gain"": 8.0}, {""pattern"": ""doordie_unknown_U_Mumba_vs_Bengal_Warriors_none_early_zero > doordie_success_U_Mumba_vs_Bengal_Warriors_none_early_single"", ""support"": 7, ""gain"": 6.0}, {""pattern"": ""doordie_unknown_Telugu_Titans_vs_Bengal_Warriors_none_early_zero > doordie_unknown_Telugu_Titans_vs_Bengal_Warriors_none_early_zero"", ""support"": 6, ""gain"": 5.0}, {""pattern"": ""doordie_unknown_Telugu_Titans_vs_Bengal_Warriors_none_early_zero > doordie_success_Telugu_Titans_vs_Bengal_Warriors_none_early_single"", ""support"": 5, ""gain"": 4.0}]"
Abhishek Singh,Bengaluru Bulls,93,0.6559139784946236,0.5268817204301075,38,18,"[{""pattern"": ""doordie_success_U_Mumba_vs_Bengaluru_Bulls_none_early_single > doordie_unknown_U_Mumba_vs_Bengaluru_Bulls_none_early_zero > doordie_success_U_Mumba_vs_Bengaluru_Bulls_none_early_single"", ""support"": 7, ""gain"": 13.0}, {""pattern"": ""doordie_success_U_Mumba_vs_Bengaluru_Bulls_none_early_single > doordie_unknown_U_Mumba_vs_Bengaluru_Bulls_none_early_zero"", ""support"": 13, ""gain"": 12.0}, {""pattern"": ""doordie_unknown_U_Mumba_vs_Bengaluru_Bulls_none_early_zero > doordie_success_U_Mumba_vs_Bengaluru_Bulls_none_early_single"", ""support"": 12, ""gain"": 11.0}, {""pattern"": ""doordie_success_U_Mumba_vs_Bengaluru_Bulls_none_early_single > doordie_success_U_Mumba_vs_Bengaluru_Bulls_none_early_single"", ""support"": 12, ""gain"": 11.0}, {""pattern"": ""doordie_success_U_Mumba_vs_Bengaluru_Bulls_none_early_single > doordie_success_U_Mumba_vs_Bengaluru_Bulls_none_early_single > doordie_success_U_Mumba_vs_Bengaluru_Bulls_none_early_single"", ""support"": 6, ""gain"": 11.0}]"
Abhishek Singh,Dabang Delhi K.C.,80,0.6125,0.325,23,25,"[{""pattern"": ""doordie_unknown_U_Mumba_vs_Dabang_Delhi_K.C._none_early_zero > doordie_unknown_U_Mumba_vs_Dabang_Delhi_K.C._none_early_zero"", ""support"": 9, ""gain"": 8.0}, {""pattern"": ""doordie_success_U_Mumba_vs_Dabang_Delhi_K.C._none_early_single > doordie_unknown_U_Mumba_vs_Dabang_Delhi_K.C._none_early_zero"", ""support"": 9, ""gain"": 8.0}, {""pattern"": ""doordie_unknown_U_Mumba_vs_Dabang_Delhi_K.C._none_early_zero > bonus_success_U_Mumba_vs_Dabang_Delhi_K.C._unknown_early_zero"", ""support"": 8, ""gain"": 7.0}, {""pattern"": ""bonus_success_U_Mumba_vs_Dabang_Delhi_K.C._unknown_early_zero > doordie_success_U_Mumba_vs_Dabang_Delhi_K.C._none_early_single"", ""support"": 8, ""gain"": 7.0}, {""pattern"": ""bonus_success_U_Mumba_vs_Dabang_Delhi_K.C._unknown_early_zero > doordie_unknown_U_Mumba_vs_Dabang_Delhi_K.C._none_early_zero"", ""support"": 6, ""gain"": 5.0}]"
Abhishek Singh,Gujarat Fortunegiants,38,0.5789473684210527,0.39473684210526316,12,8,"[{""pattern"": ""doordie_unknown_U_Mumba_vs_Gujarat_Fortunegiants_none_early_zero > doordie_success_U_Mumba_vs_Gujarat_Fortunegiants_none_early_single > doordie_unknown_U_Mumba_vs_Gujarat_Fortunegiants_none_early_zero"", ""support"": 3, ""gain"": 5.0}, {""pattern"": ""bonus_success_U_Mumba_vs_Gujarat_Fortunegiants_unknown_early_zero > doordie_unknown_U_Mumba_vs_Gujarat_Fortunegiants_none_early_zero"", ""support"": 5, ""gain"": 4.0}, {""pattern"": ""doordie_unknown_U_Mumba_vs_Gujarat_Fortunegiants_none_early_zero > doordie_unknown_U_Mumba_vs_Gujarat_Fortunegiants_none_early_zero"", ""support"": 5, ""gain"": 4.0}, {""pattern"": ""doordie_unknown_U_Mumba_vs_Gujarat_Fortunegiants_none_early_zero > doordie_success_U_Mumba_vs_Gujarat_Fortunegiants_none_early_single"", ""support"": 5, ""gain"": 4.0}, {""pattern"": ""doordie_success_U_Mumba_vs_Gujarat_Fortunegiants_none_early_single > doordie_unknown_U_Mumba_vs_Gujarat_Fortunegiants_none_early_zero"", ""support"": 5, ""gain"": 4.0}]"
Abhishek Singh,Gujarat Giants,54,0.5740740740740741,0.2777777777777778,14,17,"[{""pattern"": ""doordie_unknown_U_Mumba_vs_Gujarat_Giants_none_early_zero > doordie_unknown_U_Mumba_vs_Gujarat_Giants_none_early_zero"", ""support"": 4, ""gain"": 3.0}, {""pattern"": ""doordie_unknown_Telugu_Titans_vs_Gujarat_Giants_none_early_zero > doordie_success_Telugu_Titans_vs_Gujarat_Giants_none_early_single"", ""support"": 4, ""gain"": 3.0}, {""pattern"": ""doordie_success_Telugu_Titans_vs_Gujarat_Giants_none_early_single > doordie_unknown_Telugu_Titans_vs_Gujarat_Giants_none_early_zero"", ""support"": 4, ""gain"": 3.0}, {""pattern"": ""doordie_unknown_U_Mumba_vs_Gujarat_Giants_none_early_zero"", ""support"": 12, ""gain"": -1.0}, {""pattern"": ""doordie_success_Telugu_Titans_vs_Gujarat_Giants_none_early_single"", ""support"": 9, ""gain"": -1.0}]"
Abhishek Singh,Haryana Steelers,111,0.6396396396396397,0.5495495495495496,50,18,"[{""pattern"": ""doordie_success_U_Mumba_vs_Haryana_Steelers_none_early_single > doordie_unknown_U_Mumba_vs_Haryana_Steelers_none_early_zero"", ""support"": 16, ""gain"": 15.0}, {""pattern"": ""doordie_success_U_Mumba_vs_Haryana_Steelers_none_early_single > doordie_success_U_Mumba_vs_Haryana_Steelers_none_early_single > doordie_unknown_U_Mumba_vs_Haryana_Steelers_none_early_zero"", ""support"": 8, ""gain"": 15.0}, {""pattern"": ""doordie_success_U_Mumba_vs_Haryana_Steelers_none_early_single > doordie_success_U_Mumba_vs_Haryana_Steelers_none_early_single"", ""support"": 15, ""gain"": 14.0}, {""pattern"": ""doordie_unknown_U_Mumba_vs_Haryana_Steelers_none_early_zero > doordie_success_U_Mumba_vs_Haryana_Steelers_none_early_single > doordie_success_U_Mumba_vs_Haryana_Steelers_none_early_single"", ""support"": 7, ""gain"": 13.0}, {""pattern"": ""doordie_unknown_U_Mumba_vs_Haryana_Steelers_none_early_zero > doordie_success_U_Mumba_vs_Haryana_Steelers_none_early_single"", ""support"": 13, ""gain"": 12.0}]"
Abhishek Singh,Jaipur Pink Panthers,102,0.5686274509803921,0.49019607843137253,36,18,"[{""pattern"": ""doordie_success_U_Mumba_vs_Jaipur_Pink_Panthers_none_early_single > doordie_unknown_U_Mumba_vs_Jaipur_Pink_Panthers_none_early_zero"", ""support"": 15, ""gain"": 14.0}, {""pattern"": ""doordie_unknown_U_Mumba_vs_Jaipur_Pink_Panthers_none_early_zero > doordie_success_U_Mumba_vs_Jaipur_Pink_Panthers_none_early_single > doordie_unknown_U_Mumba_vs_Jaipur_Pink_Panthers_none_early_zero"", ""support"": 7, ""gain"": 13.0}, {""pattern"": ""doordie_success_U_Mumba_vs_Jaipur_Pink_Panthers_none_early_single > doordie_unknown_U_Mumba_vs_Jaipur_Pink_Panthers_none_early_zero > doordie_unknown_U_Mumba_vs_Jaipur_Pink_Panthers_none_early_zero"", ""support"": 7, ""gain"": 13.0}, {""pattern"": ""doordie_unknown_U_Mumba_vs_Jaipur_Pink_Panthers_none_early_zero > doordie_unknown_U_Mumba_vs_Jaipur_Pink_Panthers_none_early_zero"", ""support"": 13, ""gain"": 12.0}, {""pattern"": ""doordie_unknown_U_Mumba_vs_Jaipur_Pink_Panthers_none_early_zero > doordie_success_U_Mumba_vs_Jaipur_Pink_Panthers_none_early_single"", ""support"": 12, ""gain"": 11.0}]"
Abhishek Singh,Patna Pirates,77,0.6103896103896104,0.37662337662337664,25,21,"[{""pattern"": ""doordie_success_U_Mumba_vs_Patna_Pirates_none_early_single > doordie_success_U_Mumba_vs_Patna_Pirates_none_early_single"", ""support"": 9, ""gain"": 8.0}, {""pattern"": ""doordie_unknown_U_Mumba_vs_Patna_Pirates_none_early_zero > doordie_success_U_Mumba_vs_Patna_Pirates_none_early_single"", ""support"": 6, ""gain"": 5.0}, {""pattern"": ""doordie_success_U_Mumba_vs_Patna_Pirates_none_early_single > doordie_unknown_U_Mumba_vs_Patna_Pirates_none_early_zero"", ""support"": 6, ""gain"": 5.0}, {""pattern"": ""doordie_unknown_U_Mumba_vs_Patna_Pirates_none_early_zero > doordie_unknown_U_Mumba_vs_Patna_Pirates_none_early_zero"", ""support"": 6, ""gain"": 5.0}, {""pattern"": ""bonus_success_U_Mumba_vs_Patna_Pirates_null_early_zero > doordie_success_U_Mumba_vs_Patna_Pirates_none_early_single"", ""support"": 4, ""gain"": 3.0}]"
Abhishek Singh,Puneri Paltan,101,0.594059405940594,0.38613861386138615,34,25,"[{""pattern"": ""doordie_success_U_Mumba_vs_Puneri_Paltan_none_early_single > doordie_success_U_Mumba_vs_Puneri_Paltan_none_early_single > doordie_success_U_Mumba_vs_Puneri_Paltan_none_early_single"", ""support"": 7, ""gain"": 13.0}, {""pattern"": ""doordie_unknown_U_Mumba_vs_Puneri_Paltan_none_early_zero > doordie_success_U_Mumba_vs_Puneri_Paltan_none_early_single > doordie_unknown_U_Mumba_vs_Puneri_Paltan_none_early_zero"", ""support"": 7, ""gain"": 13.0}, {""pattern"": ""doordie_success_U_Mumba_vs_Puneri_Paltan_none_early_single > doordie_unknown_U_Mumba_vs_Puneri_Paltan_none_early_zero"", ""support"": 13, ""gain"": 12.0}, {""pattern"": ""doordie_unknown_U_Mumba_vs_Puneri_Paltan_none_early_zero > doordie_success_U_Mumba_vs_Puneri_Paltan_none_early_single"", ""support"": 12, ""gain"": 11.0}, {""pattern"": ""doordie_success_U_Mumba_vs_Puneri_Paltan_none_early_single > doordie_unknown_U_Mumba_vs_Puneri_Paltan_none_early_zero > doordie_unknown_U_Mumba_vs_Puneri_Paltan_none_early_zero"", ""support"": 6, ""gain"": 11.0}]"
Abhishek Singh,Tamil Thalaivas,86,0.5697674418604651,0.38372093023255816,28,21,"[{""pattern"": ""doordie_success_U_Mumba_vs_Tamil_Thalaivas_none_early_single > doordie_unknown_U_Mumba_vs_Tamil_Thalaivas_none_early_zero"", ""support"": 9, ""gain"": 8.0}, {""pattern"": ""doordie_success_U_Mumba_vs_Tamil_Thalaivas_none_early_single > doordie_success_U_Mumba_vs_Tamil_Thalaivas_none_early_single"", ""support"": 8, ""gain"": 7.0}, {""pattern"": ""doordie_unknown_Telugu_Titans_vs_Tamil_Thalaivas_none_early_zero > doordie_unknown_Telugu_Titans_vs_Tamil_Thalaivas_none_early_zero"", ""support"": 8, ""gain"": 7.0}, {""pattern"": ""doordie_unknown_U_Mumba_vs_Tamil_Thalaivas_none_early_zero > bonus_success_U_Mumba_vs_Tamil_Thalaivas_null_early_zero"", ""support"": 6, ""gain"": 5.0}, {""pattern"": ""doordie_unknown_U_Mumba_vs_Tamil_Thalaivas_none_early_zero"", ""support"": 22, ""gain"": -1.0}]"
Abhishek Singh,Telugu Titans,79,0.6329113924050633,0.5316455696202531,32,16,"[{""pattern"": ""doordie_unknown_U_Mumba_vs_Telugu_Titans_none_early_zero > doordie_success_U_Mumba_vs_Telugu_Titans_none_early_single"", ""support"": 10, ""gain"": 9.0}, {""pattern"": ""doordie_success_U_Mumba_vs_Telugu_Titans_none_early_single > doordie_success_U_Mumba_vs_Telugu_Titans_none_early_single"", ""support"": 7, ""gain"": 6.0}, {""pattern"": ""doordie_success_U_Mumba_vs_Telugu_Titans_none_early_single > doordie_unknown_U_Mumba_vs_Telugu_Titans_none_early_zero"", ""support"": 7, ""gain"": 6.0}, {""pattern"": ""doordie_unknown_U_Mumba_vs_Telugu_Titans_none_early_zero > doordie_unknown_U_Mumba_vs_Telugu_Titans_none_early_zero"", ""support"": 5, ""gain"": 4.0}, {""pattern"": ""doordie_success_U_Mumba_vs_Telugu_Titans_none_early_high > doordie_unknown_U_Mumba_vs_Telugu_Titans_none_early_zero"", ""support"": 4, ""gain"": 3.0}]"
Abhishek Singh,U Mumba,25,0.56,0.2,5,9,"[{""pattern"": ""doordie_unknown_Telugu_Titans_vs_U_Mumba_none_early_zero > bonus_success_Telugu_Titans_vs_U_Mumba_null_early_zero"", ""support"": 5, ""gain"": 4.0}, {""pattern"": ""bonus_success_Telugu_Titans_vs_U_Mumba_null_early_zero > doordie_unknown_Telugu_Titans_vs_U_Mumba_none_early_zero"", ""support"": 4, ""gain"": 3.0}, {""pattern"": ""doordie_unknown_Telugu_Titans_vs_U_Mumba_none_early_zero > bonus_success_Telugu_Titans_vs_U_Mumba_null_early_zero > doordie_unknown_Telugu_Titans_vs_U_Mumba_none_early_zero"", ""support"": 2, ""gain"": 3.0}, {""pattern"": ""doordie_unknown_Telugu_Titans_vs_U_Mumba_none_early_zero > doordie_unknown_Telugu_Titans_vs_U_Mumba_none_early_zero"", ""support"": 3, ""gain"": 2.0}, {""pattern"": ""doordie_success_Telugu_Titans_vs_U_Mumba_none_early_single > doordie_success_Telugu_Titans_vs_U_Mumba_none_early_single"", ""support"": 2, ""gain"": 1.0}]"
