Unnamed: 0,match_id,match_number,date,start_time,result,player_id_of_the_match,player_name_of_the_match,series_id,series_name,status,toss_winner,toss_selection,venue_id,venue_name,home_team_id,home_team_name,season
22,116,Match 55,8/19/2015,20:00,Patna Pirates beat Jaipur Pink Panthers (26-24),46.0,46.0,2,"Pro Kabaddi League, 2015",Full Time,3,Choice of court :Left,7,"Shree Shiv Chhatrapati Sports Complex, Pune",,Patna Pirates,5
23,117,Match 56,8/19/2015,21:00,Bengaluru Bulls beat Puneri Paltan (31-30),232.0,232.0,2,"Pro Kabaddi League, 2015",Full Time,7,Choice of court :Left,7,"Shree Shiv Chhatrapati Sports Complex, Pune",,Bengaluru Bulls,7
24,118,Semi-Final 1,8/21/2015,20:00,Bengaluru Bulls beat Telugu Titans (39-38),26.0,26.0,2,"Pro Kabaddi League, 2015",Full Time,8,Choice of court :Right,5,"DOME@NSCI SVP Stadium, Mumbai",,Bengaluru Bulls,4
25,119,Semi-Final 2,8/21/2015,21:00,U Mumba beat Patna Pirates (35-18),105.0,105.0,2,"Pro Kabaddi League, 2015",Full Time,6,Choice of court :Right,5,"DOME@NSCI SVP Stadium, Mumbai",,U Mumba,3
26,12,Match 12,8/1/2014,21:00,Bengal Warriors beat Puneri Paltan (38 - 35),12.0,12.0,1,"Pro Kabaddi League Season 1, 2014",Full Time,7,Choice of court : Right,4,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",4.0,Bengal Warriors,2
27,120,3/4 Place,8/23/2015,20:00,Telugu Titans beat Patna Pirates (34-26),81.0,81.0,2,"Pro Kabaddi League, 2015",Full Time,6,Choice of court :Right,5,"DOME@NSCI SVP Stadium, Mumbai",,Patna Pirates,5
28,121,Final,8/23/2015,21:00,U Mumba beat Bengaluru Bulls (36-30),105.0,105.0,2,"Pro Kabaddi League, 2015",Full Time,5,Choice of court :Right,5,"DOME@NSCI SVP Stadium, Mumbai",,Bengaluru Bulls,1
29,122,Match 1,1/30/2016,20:00,U Mumba beat Telugu Titans (27-25),111.0,111.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,5,Choice of court :Left,8,"Rajiv Gandhi Indoor Stadium, Visakhapatnam",,Telugu Titans,2
30,123,Match 2,1/30/2016,21:00,Bengaluru Bulls beat Dabang Delhi (35-29),118.0,118.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,2,Choice of court :Right,8,"Rajiv Gandhi Indoor Stadium, Visakhapatnam",,Bengaluru Bulls,2
31,124,Match 3,1/31/2016,20:00,Jaipur Pink Panthers beat U Mumba (27-18),52.0,52.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,5,Choice of court :Left,8,"Rajiv Gandhi Indoor Stadium, Visakhapatnam",,U Mumba,5
32,125,Match 4,1/31/2016,21:00,Telugu Titans beat Puneri Paltan (27-26),251.0,251.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,7,Choice of court :Left,8,"Rajiv Gandhi Indoor Stadium, Visakhapatnam",,Telugu Titans,5
33,126,Match 5,2/1/2016,20:00,Patna Pirates beat Jaipur Pink Panthers (29-28),197.0,197.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,6,Choice of court :Left,8,"Rajiv Gandhi Indoor Stadium, Visakhapatnam",,Jaipur Pink Panthers,3
34,127,Match 6,2/1/2016,21:00,Telugu Titans beat Dabang Delhi (45-34),81.0,81.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,2,Choice of court :Left,8,"Rajiv Gandhi Indoor Stadium, Visakhapatnam",,Dabang Delhi,7
35,128,Match 7,2/2/2016,20:00,Bengal Warriors beat Telugu Titans (25-17),320.0,320.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,4,Choice of court :Left,8,"Rajiv Gandhi Indoor Stadium, Visakhapatnam",,Bengal Warriors,4
36,129,Match 8,2/3/2016,20:00,Patna Pirates beat Bengaluru Bulls (33-24),326.0,326.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,1,Choice of court :Right,1,"Sree Kanteerava Stadium, Bengaluru",,Bengaluru Bulls,6
37,13,Match 13,8/2/2014,20:00,Jaipur Pink Panthers beat Patna Pirates (40 - 18),143.0,143.0,1,"Pro Kabaddi League Season 1, 2014",Full Time,3,Choice of court : Right,4,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",,Jaipur Pink Panthers,3
38,130,Match 9,2/3/2016,21:00,Puneri Paltan beat Dabang Delhi (38-20),41.0,41.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,7,Choice of court :Left,1,"Sree Kanteerava Stadium, Bengaluru",,Dabang Delhi,1
39,131,Match 10,2/4/2016,20:00,Bengal Warriors beat Bengaluru Bulls (34-24),12.0,12.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,1,Choice of court :Right,1,"Sree Kanteerava Stadium, Bengaluru",,Bengaluru Bulls,7
40,132,Match 11,2/5/2016,20:00,U Mumba beat Dabang Delhi (30-17),29.0,29.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,2,Choice of court :Right,1,"Sree Kanteerava Stadium, Bengaluru",,Dabang Delhi,6
41,133,Match 12,2/5/2016,21:00,Bengaluru Bulls beat Jaipur Pink Panthers (36-26),318.0,318.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,1,Choice of court :Left,1,"Sree Kanteerava Stadium, Bengaluru",,Bengaluru Bulls,5
42,134,Match 13,2/6/2016,20:00,Patna Pirates beat U Mumba (40-26),197.0,197.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,5,Choice of court :Right,1,"Sree Kanteerava Stadium, Bengaluru",,U Mumba,2
43,135,Match 14,2/6/2016,21:00,Telugu Titans beat Bengaluru Bulls (35-26),81.0,81.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,1,Choice of court :Left,1,"Sree Kanteerava Stadium, Bengaluru",,Telugu Titans,1
44,1355,Match 1,10/5/2018,20:00,,,,45,"Testing Pro Kabaddi League Season 6, 2018",1st Half,29,Choice of court :Left,0,TBD,29.0,Tamil Thalaivas,3
45,136,Match 15,2/7/2016,20:00,Bengal Warriors beat Puneri Paltan (33-28),320.0,320.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,7,Choice of court :Left,4,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",,Puneri Paltan,7
46,137,Match 16,2/7/2016,21:00,Jaipur Pink Panthers beat Dabang Delhi (39-34),190.0,190.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,3,Choice of court :Left,4,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",,Dabang Delhi,1
47,138,Match 17,2/8/2016,20:00,Patna Pirates beat Telugu Titans (29-25),197.0,197.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,8,Choice of court :Left,4,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",,Telugu Titans,4
48,139,Match 18,2/8/2016,21:00,Bengal Warriors beat Dabang Delhi (34-17),66.0,66.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,4,Choice of court :Right,4,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",,Bengal Warriors,2
49,14,Match 14,8/2/2014,21:00,U Mumba beat Bengal Warriors (38 - 29),105.0,105.0,1,"Pro Kabaddi League Season 1, 2014",Full Time,5,Choice of court : Right,4,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",4.0,Bengal Warriors,1
50,140,Match 19,2/9/2016,20:00,Patna Pirates beat Bengal Warriors (36-31),326.0,326.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,6,Choice of court :Left,4,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",,Patna Pirates,2
51,141,Match 20,2/10/2016,20:00,U Mumba beat Bengaluru Bulls (29-28),94.0,94.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,5,Choice of court :Right,4,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",,U Mumba,7
52,142,Match 21,2/10/2016,21:00,Bengal Warriors beat Jaipur Pink Panthers (34-20),320.0,320.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,3,Choice of court :Left,4,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",,Jaipur Pink Panthers,3
53,143,Match 22,2/11/2016,20:00,Match Tied,197.0,197.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,6,Choice of court :Left,7,"Shree Shiv Chhatrapati Sports Complex, Pune",,,1
54,144,Match 23,2/12/2016,20:00,Patna Pirates beat Dabang Delhi (47-34),211.0,211.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,6,Choice of court :Right,7,"Shree Shiv Chhatrapati Sports Complex, Pune",,Dabang Delhi,2
55,145,Match 24,2/12/2016,21:00,Match Tied,26.0,26.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,7,Choice of court :Right,7,"Shree Shiv Chhatrapati Sports Complex, Pune",,,1
56,146,Match 25,2/13/2016,20:00,Telugu Titans beat Jaipur Pink Panthers (27-25),251.0,251.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,3,Choice of court :Right,7,"Shree Shiv Chhatrapati Sports Complex, Pune",,Jaipur Pink Panthers,3
57,147,Match 26,2/13/2016,21:00,U Mumba beat Puneri Paltan (29-27),94.0,94.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,7,Choice of court :Right,7,"Shree Shiv Chhatrapati Sports Complex, Pune",,Puneri Paltan,2
58,148,Match 27,2/14/2016,20:00,U Mumba beat Bengal Warriors (32-21),94.0,94.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,5,Choice of court :Right,7,"Shree Shiv Chhatrapati Sports Complex, Pune",,U Mumba,4
59,149,Match 28,2/14/2016,21:00,Puneri Paltan beat Bengaluru Bulls (29-27),234.0,234.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,1,Choice of court :Right,7,"Shree Shiv Chhatrapati Sports Complex, Pune",,Puneri Paltan,5
60,15,Match 15,8/3/2014,20:00,Telugu Titans beat Dabang Delhi (39 - 35),41.0,41.0,1,"Pro Kabaddi League Season 1, 2014",Full Time,8,Choice of court : Right,2,"Thyagaraj Sports Complex, Delhi",2.0,Dabang Delhi K.C.,1
