Player Name,Season,Team,do_or_die,high_5s,raid_points,raidpoints,successful_raids,successful_tackles,super_10s,super_raids,super_takels,tackle_points,total_points
Anand,6,Tamil Thalaivas,3,0,2,8,7,0,0,0,0,0,8
Anand,7,Tamil Thalaivas,3,0,1,6,3,0,0,1,0,0,6
Anand Patil,5,Dabang Delhi K.C.,7,0,1,33,24,0,0,2,0,0,33
Anand Patil,6,Jaipur Pink Panthers,5,0,1,13,9,0,0,1,0,0,13
Anand Surendra Tomar,6,Haryana Steelers,2,0,1,8,7,1,0,0,0,0,9
Anand V,6,Bengaluru Bulls,3,0,1,3,3,0,0,0,0,0,3
Anil Kashinath Patil,3,Jaipur Pink Panthers,6,0,1,8,6,0,0,0,0,0,8
Anil Kumar,3,Dabang Delhi K.C.,1,0,0,2,2,19,0,0,0,1,21
Anil Kumar,4,Dabang Delhi K.C.,1,0,0,1,1,2,0,0,4,0,2
Anil Kumar,5,Bengal Warriors,0,0,0,1,0,1,0,0,0,0,1
Anil Kumar,6,Tamil Thalaivas,0,1,0,1,0,6,0,0,1,1,7
Anil Kumar,7,Dabang Delhi K.C.,0,0,0,0,0,11,0,0,0,1,11
Anil Shriram Nimbolkar,3,Dabang Delhi K.C.,4,0,2,15,9,2,1,1,2,0,19
Anil Singh,2,Puneri Paltan,0,0,0,0,0,0,0,0,0,0,0
Ankit,6,Bengaluru Bulls,0,0,0,0,0,3,0,0,0,0,3
Ankit,7,Bengaluru Bulls,0,0,0,0,0,3,0,0,1,1,5
Ankit Beniwal,7,Telugu Titans,0,0,1,6,4,1,0,0,0,0,7
Ankush,7,U.P. Yoddha,2,0,0,5,4,1,0,0,0,0,6
Anoop E.V.,2,U Mumba,0,0,0,0,0,2,0,0,0,1,2
Anuj Kumar,6,Telugu Titans,0,0,0,1,1,4,0,0,1,0,6
Anup Kumar,1,U Mumba,13,0,9,155,123,12,10,8,2,0,169
Anup Kumar,2,U Mumba,8,0,5,74,61,6,1,1,1,0,81
Anup Kumar,3,U Mumba,3,0,5,76,63,3,0,3,0,0,79
Anup Kumar,4,U Mumba,3,0,5,72,60,9,0,0,1,0,82
Anup Kumar,5,U Mumba,5,0,5,112,84,19,2,2,4,1,135
Anup Kumar,6,Jaipur Pink Panthers,1,0,2,38,30,12,0,2,0,0,50
Arjun Deshwal,6,U Mumba,0,0,1,4,3,0,0,0,0,0,4
Arjun Deshwal,7,U Mumba,10,0,4,69,53,2,2,2,0,0,71
Armaan,6,Telugu Titans,4,0,3,13,9,1,1,1,1,0,15
Armaan,7,Telugu Titans,2,0,1,9,6,0,0,1,0,0,9
Arun Kumar HN,6,Haryana Steelers,0,0,0,1,1,0,0,0,0,0,1
Arun Kumar HN,7,Haryana Steelers,0,0,0,2,1,0,0,0,0,0,2
Ashish,7,Patna Pirates,1,0,0,5,3,0,0,0,0,0,5
Ashish Chhokar,2,Bengaluru Bulls,3,0,2,12,7,1,0,0,0,0,13
Ashish Chhokar,5,Haryana Steelers,1,0,1,9,6,3,0,1,0,0,12
Ashish Kumar,2,Bengaluru Bulls,1,0,0,2,2,2,0,0,1,0,5
Ashish Kumar,3,Bengaluru Bulls,0,1,0,7,5,25,0,0,0,1,32
Ashish Kumar,4,Bengaluru Bulls,5,1,1,14,11,17,0,0,6,1,37
Ashish Kumar,5,Bengaluru Bulls,4,1,1,17,16,14,0,0,1,0,32
Ashish Kumar,6,Bengaluru Bulls,0,1,0,5,3,37,0,0,3,1,45
Ashish Kumar,7,Bengaluru Bulls,0,0,0,0,0,3,0,0,2,0,5
Ashu Singh,7,U.P. Yoddha,0,0,0,0,0,24,0,0,0,1,24
Athul MS,4,Telugu Titans,4,0,2,8,6,0,0,0,0,0,8
Athul MS,6,Tamil Thalaivas,6,0,3,55,46,1,0,0,0,0,56
Athul MS,7,U Mumba,10,0,3,34,25,0,0,0,0,0,34
Atif Waheed,1,Telugu Titans,0,0,0,0,0,1,0,0,0,0,1
Azad Singh,6,U.P. Yoddha,6,0,2,21,14,2,0,1,0,0,23
Azad Singh,7,U.P. Yoddha,0,0,1,5,3,0,0,0,0,0,5
