season,do_or_die_points,player_name,team_name,player_id_0,match_played_0,position_id_0,position_name_0,high_5s,player_id_1,match_played_1,position_id_1,position_name_1,avg_raid_points,player_id_2,match_played_2,position_id_2,position_name_2,raid_points,player_id_3,match_played_3,position_id_3,position_name_3,successful_raids,player_id_4,match_played_4,position_id_4,position_name_4,successful_tackles,player_id_5,match_played_5,position_id_5,position_name_5,super_10s,player_id_6,match_played_6,position_id_6,position_name_6,super_raids,player_id_7,match_played_7,position_id_7,position_name_7,super_tackles,player_id_8,match_played_8,position_id_8,position_name_8,tackle_points,player_id_9,match_played_9,position_id_9,position_name_9,total_points,player_id,match_played,position_id,position_name,z_score_do_or_die_points,z_score_high_5s,z_score_avg_raid_points,z_score_raid_points,z_score_successful_raids,z_score_successful_tackles,z_score_super_10s,z_score_super_raids,z_score_super_tackles,z_score_tackle_points,z_score_total_points
1,0.0,Sunil Hanumanthappa,Bengaluru Bulls,,,,,0.0,,,,,0.0,,,,,2.0,113.0,5.0,8.0,Raider,1.0,113.0,5.0,8.0,Raider,2.0,113.0,5.0,8.0,Raider,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,4.0,113.0,5.0,8.0,Raider,-0.5653754532076453,-0.40394471049369335,-0.7146693226794874,-0.48303250144783555,-0.48868864173626336,-0.6094918510823898,-0.2930573022265171,-0.4081870375223144,-0.6437102072448644,-0.9373999191934232,-0.7062912750880657
1,0.0,Dong Ju Hong,"Ben, Del",,,,,0.0,,,,,0.0,,,,,1.0,11.0,2.0,1.0,All Rounder,1.0,11.0,2.0,1.0,All Rounder,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,1.0,11.0,2.0,1.0,All Rounder,-0.5653754532076453,-0.40394471049369335,-0.7146693226794874,-0.507802163316862,-0.48868864173626336,-0.7486032238427576,-0.2930573022265171,-0.4081870375223144,-0.6437102072448644,-0.9373999191934232,-0.7792726559220666
1,2.0,Jasmer Singh Gulia,"Ben, Del",51.0,14.0,1.0,All Rounder,0.0,,,,,0.78,51.0,14.0,1.0,All Rounder,7.0,51.0,14.0,1.0,All Rounder,7.0,51.0,14.0,1.0,All Rounder,36.0,51.0,14.0,1.0,All Rounder,0.0,,,,,0.0,,,,,2.0,51.0,14.0,1.0,All Rounder,2.71,51.0,14.0,1.0,All Rounder,45.0,51.0,14.0,1.0,All Rounder,-0.31240223627730385,-0.40394471049369335,-0.3762070642793219,-0.35918419210270286,-0.30341409860335583,1.7554014858438631,-0.2930573022265171,-0.4081870375223144,0.6399640760678816,1.9502595160785636,0.29112092964328157
1,18.0,Kashiling Adake,"Ben, Del",58.0,14.0,8.0,Raider,0.0,,,,,8.07,58.0,14.0,8.0,Raider,113.0,58.0,14.0,8.0,Raider,92.0,58.0,14.0,8.0,Raider,8.0,58.0,14.0,8.0,Raider,5.0,58.0,14.0,8.0,Raider,3.0,58.0,14.0,8.0,Raider,1.0,58.0,14.0,8.0,Raider,0.64,58.0,14.0,8.0,Raider,122.0,58.0,14.0,8.0,Raider,1.7113834991654269,-0.40394471049369335,2.7871132738453017,2.2663999660141094,2.3213085957795005,-0.19215773280128634,2.533048764273104,1.6222142910564237,-0.0018730655884913543,-0.25544344739487285,2.164309704382641
1,0.0,Raju Lal Choudhary,"Ben, Jai",,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,2.0,87.0,5.0,6.0,"Defender, right corner",0.0,,,,,0.0,,,,,0.0,,,,,0.4,87.0,5.0,6.0,"Defender, right corner",2.0,87.0,5.0,6.0,"Defender, right corner",-0.5653754532076453,-0.40394471049369335,-0.7146693226794874,-0.5325718251858886,-0.5195677322584146,-0.6094918510823898,-0.2930573022265171,-0.4081870375223144,-0.6437102072448644,-0.5111771243193293,-0.7549455289773996
1,3.0,Gurvinder Singh,"Ben, Pat",46.0,7.0,8.0,Raider,0.0,,,,,1.8,46.0,7.0,8.0,Raider,9.0,46.0,7.0,8.0,Raider,6.0,46.0,7.0,8.0,Raider,3.0,46.0,7.0,8.0,Raider,0.0,,,,,0.0,,,,,1.0,46.0,7.0,8.0,Raider,0.57,46.0,7.0,8.0,Raider,13.0,46.0,7.0,8.0,Raider,-0.1859156278121332,-0.40394471049369335,0.06639742747474069,-0.3096448683646498,-0.3342931891255071,-0.5399361647022058,-0.2930573022265171,-0.4081870375223144,-0.0018730655884913543,-0.33003243649783937,-0.48734713258606255
1,0.0,Kuldeep Singh,"Ben, Pat",,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,4.0,61.0,3.0,3.0,"Defender, left corner",0.0,,,,,0.0,,,,,1.0,61.0,3.0,3.0,"Defender, left corner",1.67,61.0,3.0,3.0,"Defender, left corner",5.0,61.0,3.0,3.0,"Defender, left corner",-0.5653754532076453,-0.40394471049369335,-0.7146693226794874,-0.5325718251858886,-0.5195677322584146,-0.47038047832202196,-0.2930573022265171,-0.4081870375223144,-0.0018730655884913543,0.8420802494059192,-0.6819641481433986
1,0.0,Amit Singh Chhillar,Dabang Delhi K.C.,,,,,1.0,28.0,14.0,3.0,"Defender, left corner",0.0,,,,,1.0,28.0,14.0,3.0,"Defender, left corner",1.0,28.0,14.0,3.0,"Defender, left corner",26.0,28.0,14.0,3.0,"Defender, left corner",0.0,,,,,0.0,,,,,3.0,28.0,14.0,3.0,"Defender, left corner",2.07,28.0,14.0,3.0,"Defender, left corner",30.0,28.0,14.0,3.0,"Defender, left corner",-0.5653754532076453,0.4593716354262999,-0.7146693226794874,-0.507802163316862,-0.48868864173626336,1.059844622042024,-0.2930573022265171,-0.4081870375223144,1.2818012177242548,1.268303044280013,-0.0737859745267235
1,0.0,Dadaso Balaso Awad,Dabang Delhi K.C.,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,4.0,38.0,5.0,1.0,All Rounder,0.0,,,,,0.0,,,,,1.0,38.0,5.0,1.0,All Rounder,1.0,38.0,5.0,1.0,All Rounder,5.0,38.0,5.0,1.0,All Rounder,-0.5653754532076453,-0.40394471049369335,-0.7146693226794874,-0.5325718251858886,-0.5195677322584146,-0.47038047832202196,-0.2930573022265171,-0.4081870375223144,-0.0018730655884913543,0.12815706799181178,-0.6819641481433986
1,0.0,Ehsan Zamani Fard,Dabang Delhi K.C.,,,,,0.0,,,,,0.5,4.0,8.0,3.0,"Defender, left corner",4.0,4.0,8.0,3.0,"Defender, left corner",3.0,4.0,8.0,3.0,"Defender, left corner",2.0,4.0,8.0,3.0,"Defender, left corner",0.0,,,,,0.0,,,,,0.0,,,,,0.25,4.0,8.0,3.0,"Defender, left corner",6.0,4.0,8.0,3.0,"Defender, left corner",-0.5653754532076453,-0.40394471049369335,-0.49770633652553514,-0.43349317770978246,-0.42693046069196083,-0.6094918510823898,-0.2930573022265171,-0.4081870375223144,-0.6437102072448644,-0.6710106723971145,-0.6576370211987316
1,0.0,Punit Kumar Teotia,Dabang Delhi K.C.,,,,,0.0,,,,,0.75,80.0,4.0,8.0,Raider,3.0,80.0,4.0,8.0,Raider,2.0,80.0,4.0,8.0,Raider,2.0,80.0,4.0,8.0,Raider,0.0,,,,,0.0,,,,,0.0,,,,,0.5,80.0,4.0,8.0,Raider,5.0,80.0,4.0,8.0,Raider,-0.5653754532076453,-0.40394471049369335,-0.389224843448559,-0.458262839578809,-0.4578095512141121,-0.6094918510823898,-0.2930573022265171,-0.4081870375223144,-0.6437102072448644,-0.4046214256008058,-0.6819641481433986
1,0.0,Rakesh Singh Kumar,Dabang Delhi K.C.,,,,,0.0,,,,,0.0,,,,,1.0,158.0,9.0,4.0,"Defender, left cover",1.0,158.0,9.0,4.0,"Defender, left cover",3.0,158.0,9.0,4.0,"Defender, left cover",0.0,,,,,0.0,,,,,0.0,,,,,0.33,158.0,9.0,4.0,"Defender, left cover",4.0,158.0,9.0,4.0,"Defender, left cover",-0.5653754532076453,-0.40394471049369335,-0.7146693226794874,-0.507802163316862,-0.48868864173626336,-0.5399361647022058,-0.2930573022265171,-0.4081870375223144,-0.6437102072448644,-0.5857661134222958,-0.7062912750880657
1,0.0,Ravinder Pahal,Dabang Delhi K.C.,,,,,3.0,157.0,9.0,6.0,"Defender, right corner",0.0,,,,,0.0,,,,,0.0,,,,,29.0,157.0,9.0,6.0,"Defender, right corner",0.0,,,,,0.0,,,,,0.0,,,,,3.22,157.0,9.0,6.0,"Defender, right corner",29.0,157.0,9.0,6.0,"Defender, right corner",-0.5653754532076453,2.186004327266286,-0.7146693226794874,-0.5325718251858886,-0.5195677322584146,1.2685116811825756,-0.2930573022265171,-0.4081870375223144,-0.6437102072448644,2.4936935795430335,-0.0981131014713905
